0	1	1	0	0	0	0	0	0	0	0	0
1	1	2	20001	48	4	6	12	12	12	12	100
2	1	3	20001	96	8	12	24	24	24	24	100
3	1	4	20001	144	12	18	36	36	36	36	100
4	1	5	20001	192	16	24	48	48	48	48	100
5	1	6	20001	240	20	30	60	60	60	60	100
6	1	7	20001	293	24	36	73	73	73	73	100
7	1	8	20001	346	28	42	86	86	86	86	100
8	1	9	20001	399	32	48	99	99	99	99	100
9	1	10	20001	452	36	54	112	112	112	112	100
10	1	11	20002	505	40	60	125	125	125	125	120
11	1	12	20002	580	46	69	144	144	144	144	100
12	1	13	20002	655	52	78	163	163	163	163	100
13	1	14	20002	730	58	87	182	182	182	182	100
14	1	15	20002	805	64	96	201	201	201	201	100
15	1	16	20002	880	70	105	220	220	220	220	100
16	1	17	20002	989	78	118	247	247	247	247	100
17	1	18	20002	1098	86	131	274	274	274	274	100
18	1	19	20002	1207	94	144	301	301	301	301	100
19	1	20	20002	1316	102	157	328	328	328	328	100
20	1	21	20003	1425	110	170	355	355	355	355	140
21	1	22	20003	1569	121	187	391	391	391	391	100
22	1	23	20003	1713	132	204	427	427	427	427	100
23	1	24	20003	1857	143	221	463	463	463	463	100
24	1	25	20003	2001	154	238	499	499	499	499	100
25	1	26	20003	2145	165	255	535	535	535	535	100
26	1	27	20003	2310	177	275	576	576	576	576	100
27	1	28	20003	2475	189	295	617	617	617	617	100
28	1	29	20003	2640	201	315	658	658	658	658	100
29	1	30	20003	2805	213	335	699	699	699	699	100
30	1	31	20004	2970	225	355	740	740	740	740	160
31	1	32	20004	3143	238	376	783	783	783	783	100
32	1	33	20004	3316	251	397	826	826	826	826	100
33	1	34	20004	3489	264	418	869	869	869	869	100
34	1	35	20004	3662	277	439	912	912	912	912	100
35	1	36	20004	3835	290	460	955	955	955	955	100
36	1	37	20004	4022	304	482	1002	1002	1002	1002	100
37	1	38	20004	4209	318	504	1049	1049	1049	1049	100
38	1	39	20004	4396	332	526	1096	1096	1096	1096	100
39	1	40	20004	4583	346	548	1143	1143	1143	1143	100
40	1	41	20005	4770	360	570	1190	1190	1190	1190	180
41	1	42	20005	4973	375	594	1241	1241	1241	1241	100
42	1	43	20005	5176	390	618	1292	1292	1292	1292	100
43	1	44	20005	5379	405	642	1343	1343	1343	1343	100
44	1	45	20005	5582	420	666	1394	1394	1394	1394	100
45	1	46	20005	5785	435	690	1445	1445	1445	1445	100
46	1	47	20005	6017	452	718	1503	1503	1503	1503	100
47	1	48	20005	6249	469	746	1561	1561	1561	1561	100
48	1	49	20005	6481	486	774	1619	1619	1619	1619	100
49	1	50	20005	6713	503	802	1677	1677	1677	1677	100
50	1	51	20006	6945	520	830	1735	1735	1735	1735	200
51	1	52	20006	7212	540	862	1802	1802	1802	1802	100
52	1	53	20006	7479	560	894	1869	1869	1869	1869	100
53	1	54	20006	7746	580	926	1936	1936	1936	1936	100
54	1	55	20006	8013	600	958	2003	2003	2003	2003	100
55	1	56	20006	8280	620	990	2070	2070	2070	2070	100
56	1	57	20006	8579	642	1026	2145	2145	2145	2145	100
57	1	58	20006	8878	664	1062	2220	2220	2220	2220	100
58	1	59	20006	9177	686	1098	2295	2295	2295	2295	100
59	1	60	20006	9476	708	1134	2370	2370	2370	2370	100
60	1	61	20017	9775	730	1170	2445	2445	2445	2445	220
61	1	62	20017	10108	755	1210	2528	2528	2528	2528	100
62	1	63	20017	10441	780	1250	2611	2611	2611	2611	100
63	1	64	20017	10774	805	1290	2694	2694	2694	2694	100
64	1	65	20017	11107	830	1330	2777	2777	2777	2777	100
65	1	66	20017	11440	855	1370	2860	2860	2860	2860	100
66	1	67	20017	11808	883	1414	2952	2952	2952	2952	100
67	1	68	20017	12176	911	1458	3044	3044	3044	3044	100
68	1	69	20017	12544	939	1502	3136	3136	3136	3136	100
69	1	70	20017	12912	967	1546	3228	3228	3228	3228	100
70	1	71	20018	13280	995	1590	3320	3320	3320	3320	240
71	1	72	20018	13680	1025	1638	3420	3420	3420	3420	100
72	1	73	20018	14080	1055	1686	3520	3520	3520	3520	100
73	1	74	20018	14480	1085	1734	3620	3620	3620	3620	100
74	1	75	20018	14880	1115	1782	3720	3720	3720	3720	100
75	1	76	20018	15280	1145	1830	3820	3820	3820	3820	100
76	1	77	20018	15709	1177	1882	3927	3927	3927	3927	100
77	1	78	20018	16138	1209	1934	4034	4034	4034	4034	100
78	1	79	20018	16567	1241	1986	4141	4141	4141	4141	100
79	1	80	20018	16996	1273	2038	4248	4248	4248	4248	100
80	1	81	20019	17425	1305	2090	4355	4355	4355	4355	260
81	1	82	20019	17881	1339	2145	4469	4469	4469	4469	100
82	1	83	20019	18337	1373	2200	4583	4583	4583	4583	100
83	1	84	20019	18793	1407	2255	4697	4697	4697	4697	100
84	1	85	20019	19249	1441	2310	4811	4811	4811	4811	100
85	1	86	20019	19705	1475	2365	4925	4925	4925	4925	100
86	1	87	20019	20180	1511	2422	5044	5044	5044	5044	100
87	1	88	20019	20655	1547	2479	5163	5163	5163	5163	100
88	1	89	20019	21130	1583	2536	5282	5282	5282	5282	100
89	1	90	20019	21605	1619	2593	5401	5401	5401	5401	100
90	1	91	20020	22080	1655	2650	5520	5520	5520	5520	280
91	1	92	20020	22568	1692	2709	5642	5642	5642	5642	100
92	1	93	20020	23056	1729	2768	5764	5764	5764	5764	100
93	1	94	20020	23544	1766	2827	5886	5886	5886	5886	100
94	1	95	20020	24032	1803	2886	6008	6008	6008	6008	100
95	1	96	20020	24520	1840	2945	6130	6130	6130	6130	100
96	1	97	20020	25011	1877	3004	6253	6253	6253	6253	100
97	1	98	20020	25502	1914	3063	6376	6376	6376	6376	100
98	1	99	20020	25993	1951	3122	6499	6499	6499	6499	100
99	1	100	20020	26484	1988	3181	6622	6622	6622	6622	300
100	1	101	20020	26975	2025	3240	6745	6745	6745	6745	300
