531003001	1	3	12	3	10
531003002	1	3	14	3	10
531003003	1	3	16	3	10
531003004	1	3	15	3	10
531003005	1	3	13	3	10
531003007	1	2	12	3	10
531003008	1	2	14	3	10
531003009	1	2	16	3	10
531003010	1	2	15	3	10
531003011	1	2	13	3	10
532003001	2	3	12	3	10
532003002	2	3	14	3	10
532003003	2	3	16	3	10
532003004	2	3	15	3	10
532003005	2	3	13	3	10
532003007	2	2	12	3	10
532003008	2	2	14	3	10
532003009	2	2	16	3	10
532003010	2	2	15	3	10
532003011	2	2	13	3	10
533003001	3	3	12	3	10
533003002	3	3	14	3	10
533003003	3	3	16	3	10
533003004	3	3	15	3	10
533003005	3	3	13	3	10
533003007	3	2	12	3	10
533003008	3	2	14	3	10
533003009	3	2	16	3	10
533003010	3	2	15	3	10
533003011	3	2	13	3	10
535003001	5	3	12	3	10
535003002	5	3	14	3	10
535003003	5	3	16	3	10
535003004	5	3	15	3	10
535003005	5	3	13	3	10
535003007	5	2	12	3	10
535003008	5	2	14	3	10
535003009	5	2	16	3	10
535003010	5	2	15	3	10
535003011	5	2	13	3	10
531002001	1	3	12	3	10
531002002	1	3	14	3	10
531002003	1	3	16	3	10
531002004	1	3	15	3	10
531002005	1	3	13	3	10
532002001	2	3	12	3	10
532002002	2	3	14	3	10
532002003	2	3	16	3	10
532002004	2	3	15	3	10
532002005	2	3	13	3	10
533002001	3	3	12	3	10
533002002	3	3	14	3	10
533002003	3	3	16	3	10
533002004	3	3	15	3	10
533002005	3	3	13	3	10
535002001	5	3	12	3	10
535002002	5	3	14	3	10
535002003	5	3	16	3	10
535002004	5	3	15	3	10
535002005	5	3	13	3	10
531003012	1	3	12	3	10
531003013	1	3	14	3	10
531003014	1	3	16	3	10
531003015	1	3	15	3	10
531003016	1	3	13	3	10
532003012	2	3	12	3	10
532003013	2	3	14	3	10
532003014	2	3	16	3	10
532003015	2	3	15	3	10
532003016	2	3	13	3	10
533003012	3	3	12	3	10
533003013	3	3	14	3	10
533003014	3	3	16	3	10
533003015	3	3	15	3	10
533003016	3	3	13	3	10
535003012	5	3	12	3	10
535003013	5	3	14	3	10
535003014	5	3	16	3	10
535003015	5	3	15	3	10
535003016	5	3	13	3	10
