900	渡劫	2	1	101	16	103	100	0	0	17	15	0	0	0	0	0	0	0	0
112233	测试渡劫	1	1	5	16	1	100	0	0	0	0	0	0	0	0	0	0	0	0
2000	test-birth	9	1	21	4	1	100	0	100	0	0	0	0	0	0	0	0	0	0
2222	test-change	2	1	21	4	1	100	0	100	0	0	0	0	0	0	0	0	0	0
2223	test-race	2	1	21	4	1	100	0	100	0	0	0	0	0	0	0	0	0	0
2233	test-scene1	1	1	21	6	1	100	0	100	6	1	6	1	6	1	0	0	0	0
2234	test-scene2	1	1	21	6	1	100	0	100	6	1	6	1	6	1	0	0	0	0
2244	test-dungeon	10	1	21	4	1	100	0	100	6	1	6	1	6	1	0	0	0	0
1000	剧情副本1	2	1	5	16	2233	1	10	10	33	43	0	0	0	0	0	0	0	0
1001	剧情副本2	2	1	5	16	2233	1	10	10	33	43	0	0	0	0	0	0	0	0
1002	剧情副本3	2	1	5	16	2233	1	10	10	33	43	0	0	0	0	0	0	0	0
103	陈都	1	1	1	16	103	0	0	0	123	150	87	153	164	170	0	0	0	0
131	风暴洋	1	30	53	16	103	0	0	0	50	50	0	0	0	0	90	112	0	0
132	沉船礁	1	30	53	16	103	0	0	0	50	50	0	0	0	0	90	112	0	0
133	息浪谷	1	30	53	16	103	0	0	0	50	50	0	0	0	0	90	112	0	0
134	怪石林	1	30	53	16	103	0	0	0	50	50	0	0	0	0	90	112	0	0
135	龙宫墟	1	30	53	16	103	0	0	0	50	50	0	0	0	0	90	112	0	0
136	冰河道	1	30	53	16	103	0	0	0	50	50	0	0	0	0	90	112	0	0
137	永冻原	1	30	53	16	103	0	0	0	50	50	0	0	0	0	90	112	0	0
138	阴阳界	1	30	53	16	103	0	0	0	50	50	0	0	0	0	90	112	0	0
139	熔岩渊	1	30	53	16	103	0	0	0	50	50	0	0	0	0	90	112	0	0
140	钢铁堡	1	30	53	16	103	0	0	0	50	50	0	0	0	0	90	112	0	0
117	迷宫	6	30	1	16	103	0	0	0	19	21	0	0	0	0	90	112	0	0
301	封龙塔	2	30	1	16	103	0	0	0	21	32	0	0	0	0	90	112	-1	0
307	神秘商人	6	30	1	16	103	0	0	0	19	21	0	0	0	0	90	112	0	0
311	【剧情】真龙禁地	2	1	5	16	2233	0	0	0	37	43	0	0	0	0	90	112	-1	0
312	【剧情】坠龙渊	2	1	5	16	2233	0	0	0	35	45	0	0	0	0	90	112	-1	0
410	宠物岛	6	30	53	16	2233	0	0	0	50	50	0	0	0	0	90	112	0	0
100	魔龙峡谷	3	20	205	18	2233	5	10	10	14	50	0	0	0	0	60	60	1	0
703	比武擂台	4	30	21	18	103	2	10	10	8	50	0	0	0	0	94	95	0	0
704	部落营地	7	30	5	18	103	0	10	10	62	29	0	0	0	0	160	144	0	0
710	龙潭	6	30	5	18	103	0	10	10	7	61	0	0	0	0	160	144	0	0
701	武斗场	4	30	5	18	103	40	10	100	11	42	0	0	0	0	138	115	0	0
713	跨服驿站	6	30	1	16	103	0	0	0	20	39	23	97	78	57	0	0	0	0
714	跨服驿站	6	30	1	16	103	0	0	0	20	39	23	97	78	57	0	0	0	0
715	跨服驿站	6	30	1	16	103	0	0	0	20	39	23	97	78	57	0	0	0	0
716	跨服驿站	6	30	1	16	103	0	0	0	20	39	23	97	78	57	0	0	0	0
717	跨服驿站	6	30	1	16	103	0	0	0	20	39	23	97	78	57	0	0	0	0
718	金殿	6	30	1	16	103	30	0	0	22	27	0	0	0	0	0	0	0	0
