1	1	生命1级	1	0	1580	0	0	1000	1	600	42001
1	2	生命2级	1	0	3160	0	0	1000	10	1200	42002
1	3	生命3级	1	0	6320	0	0	1000	20	1800	42003
1	4	生命4级	1	0	12640	0	0	1000	30	2400	42004
1	5	生命5级	1	0	25290	0	0	1000	40	3000	42005
2	1	攻击1级	2	0	158	0	0	1000	1	600	42006
2	2	攻击2级	2	0	316	0	0	1000	10	1200	42007
2	3	攻击3级	2	0	632	0	0	1000	20	1800	42008
2	4	攻击4级	2	0	1264	0	0	1000	30	2400	42009
2	5	攻击5级	2	0	2529	0	0	1000	40	3000	42010
3	1	防御1级	3	0	253	0	0	1000	1	600	42011
3	2	防御2级	3	0	506	0	0	1000	10	1200	42012
3	3	防御3级	3	0	1011	0	0	1000	20	1800	42013
3	4	防御4级	3	0	2022	0	0	1000	30	2400	42014
3	5	防御5级	3	0	4046	0	0	1000	40	3000	42015
4	1	暴击1级	6	0	79	0	0	1000	1	600	42016
4	2	暴击2级	6	0	158	0	0	1000	10	1200	42017
4	3	暴击3级	6	0	316	0	0	1000	20	1800	42018
4	4	暴击4级	6	0	632	0	0	1000	30	2400	42019
4	5	暴击5级	6	0	1265	0	0	1000	40	3000	42020
5	1	抵挡1级	7	0	79	0	0	1000	1	600	42021
5	2	抵挡2级	7	0	158	0	0	1000	10	1200	42022
5	3	抵挡3级	7	0	316	0	0	1000	20	1800	42023
5	4	抵挡4级	7	0	632	0	0	1000	30	2400	42024
5	5	抵挡5级	7	0	1265	0	0	1000	40	3000	42025
6	1	命中1级	4	0	1	0	0	1000	1	600	42026
6	2	命中2级	4	0	2	0	0	1000	10	1200	42027
6	3	命中3级	4	0	3	0	0	1000	20	1800	42028
6	4	命中4级	4	0	4	0	0	1000	30	2400	42029
6	5	命中5级	4	0	5	0	0	1000	40	3000	42030
7	1	闪避1级	5	0	1	0	0	1000	1	600	42031
7	2	闪避2级	5	0	2	0	0	1000	10	1200	42032
7	3	闪避3级	5	0	3	0	0	1000	20	1800	42033
7	4	闪避4级	5	0	4	0	0	1000	30	2400	42034
7	5	闪避5级	5	0	5	0	0	1000	40	3000	42035
8	1	眩晕攻击1级	14	0	198	0	0	1000	1	600	42036
8	2	眩晕攻击2级	14	0	395	0	0	1000	10	1200	42037
8	3	眩晕攻击3级	14	0	790	0	0	1000	20	1800	42038
8	4	眩晕攻击4级	14	0	1580	0	0	1000	30	2400	42039
8	5	眩晕攻击5级	14	0	3161	0	0	1000	40	3000	42040
9	1	减速攻击1级	15	0	198	0	0	1000	1	600	42041
9	2	减速攻击2级	15	0	395	0	0	1000	10	1200	42042
9	3	减速攻击3级	15	0	790	0	0	1000	20	1800	42043
9	4	减速攻击4级	15	0	1580	0	0	1000	30	2400	42044
9	5	减速攻击5级	15	0	3161	0	0	1000	40	3000	42045
10	1	沉默攻击1级	17	0	198	0	0	1000	1	600	42046
10	2	沉默攻击2级	17	0	395	0	0	1000	10	1200	42047
10	3	沉默攻击3级	17	0	790	0	0	1000	20	1800	42048
10	4	沉默攻击4级	17	0	1580	0	0	1000	30	2400	42049
10	5	沉默攻击5级	17	0	3161	0	0	1000	40	3000	42050
11	1	定身攻击1级	16	0	198	0	0	1000	1	600	42051
11	2	定身攻击2级	16	0	395	0	0	1000	10	1200	42052
11	3	定身攻击3级	16	0	790	0	0	1000	20	1800	42053
11	4	定身攻击4级	16	0	1580	0	0	1000	30	2400	42054
11	5	定身攻击5级	16	0	3161	0	0	1000	40	3000	42055
12	1	眩晕抗性1级	18	0	198	0	0	1000	1	600	42056
12	2	眩晕抗性2级	18	0	395	0	0	1000	10	1200	42057
