5003	传统决斗场	6000	11	1	20	-	1
5004	阿拉德武道会场	6000	11	2	20	-	1
9999	PK场景	6000	12	0	20	-	1
6000	精灵旅店	6000	9	0	20	-	1
6001	赫顿城	6000	1	0	20	-	7
6018	赫顿城外城	6000	1	0	20	-	7
6002	格兰	6013	10	0	20	101000|102000|201000	1
6015	格林之森	6000	10	0	20	202000|203000|204000|205000|206000|207000|208000	7
6016	悬空塔	6000	10	0	20	301000|302000|310000|303000|304000|311000|305000|306000|307000|308000|309000	22
6017	冰雪神殿	6003	10	0	20	401000|402000|403000|404000|405000|406000|407000|408000	38
6003	精灵旅店	6003	9	0	20	-	1
6004	冰封雪域	6003	1	0	20	-	38
6005	地下城	6000	13	0	20	2001000|2002000|2003000	1
6006	公会战准备区域	6000	11	3	20	-	1
6007	公会战准备区域	6000	11	3	20	-	1
6008	公会战准备区域	6000	11	3	20	-	1
6009	公会战准备区域	6000	11	3	20	-	1
6010	公会战准备区域	6000	11	3	20	-	1
6011	公会战准备区域	6000	11	3	20	-	1
6012	公会战准备区域	6000	11	3	20	-	1
6013	精灵旅店	6013	9	0	20	-	1
6014	艾尔文营地	6013	1	0	20	-	1
