0	0	1	0	0	0	0	0	0	0	0
1	1	1	2	0	0	0	0	0	0	0
2	4	1	2	0	0	0	0	0	0	0
37	4	1	2	0	0	0	0	0	0	0
3	11	0	3	0	0	0	0	0	0	0
4	12	0	3	0	0	0	0	0	0	0
5	7	0	1	0	0	0	0	0	0	0
6	6	0	0	0	0	0	0	0	0	0
7	14	0	2	0	0	0	0	0	0	0
8	14	0	3	0	0	0	0	0	0	0
9	14	0	3	0	0	0	0	0	0	0
10	15	0	3	0	0	0	0	0	0	0
11	0	0	0	0	0	0	0	0	0	0
12	0	1	0	0	0	0	0	0	0	0
160900	0	1	0	0	0	0	0	0	0	0
14	-1	1	0	0	0	0	0	0	0	0
15	9	0	1	0	0	0	0	0	0	0
16	19	1	3	0	0	0	0	0	0	0
17	0	0	2	0	0	0	0	0	0	0
18	10	1	1	0	0	0	0	0	0	0
21	19	1	3	0	0	0	0	0	0	0
2401	-7	1	3	1	0					
2501	-7	1	3	1	0					
2402	-7	1	3	1	0					
2502	-7	1	3	1	0					
2403	-7	1	3	1	0					
2503	-7	1	3	1	0					
2404	-7	1	3	1	0					
2504	-7	1	3	1	0					
19	14	0	3	0	0	0	0	0	0	0
20	-3	1	0	0	0	0	0	0	0	0
23	23	1	3	0	0	0	0	0	0	0
26	0	1	0	0	0	0	0	0	0	0
27	0	1	0	0	0	0	0	0	0	0
28	0	1	0	0	0	0	0	0	0	0
29	4	1	2	0	0	0	0	0	0	0
30	1	1	2	0	0	0	0	0	0	0
31	14	1	3	0	0	0	0	0	0	0
32	4	1	2	0	0	0	0	0	0	0
33	1	1	2	0	0	0	0	0	0	0
34	1	1	3	0	0	0	0	0	0	0
35	-1	1	3	0	0	0	0	0	0	0
36	4	1	2	0	0	0	0	0	0	0
40	0	1	0	0	0	0	0	0	0	0
50	0	1	0	0	0	0	0	0	0	0
60	0	1	0	0	0	0	0	0	0	0
61	-1	0	3	1	0	0	0	0	0	0
1000	15	0	3	0	0	0	0	0	0	0
1001	6	0	0	0	0	0	0	0	0	0
1002	0	0	0	0	0	0	0	0	0	0
1003	10	1	1	0	0	0	0	0	0	0
1004	14	0	3	0	0	0	0	0	0	0
