999999	0
110701	110701
252701	252701
170502	170503
170503	170504
502401	6
509801	10
211405	17
211406	6
211407	8
500301	500301
506401	506401
528801	528801
533001	23
538301	5
538401	538401
539501	539501
540902	2
541901	541901
542101	542101
542103	542103
528201	528201
528202	528202
528204	528204
543802	528206
528203	528203
528205	528203
547701	539501
547702	539501
2020030	2
2020031	2
2020032	320001
2020033	320002
2020034	320004
2020035	320001
2020036	320002
2020037	320005
2020038	320001
2020039	320002
2020040	320006
2020041	320007
2020042	320008
2020043	320007
2020044	320009
2020045	320007
2020046	320010
2020047	701030
2020048	702201
211601	211601
121101	121101
121102	121102
400000	10000
400001	10001
400002	10002
400003	10003
400004	10004
400005	10005
400006	10006
400007	10007
400008	10008
400009	10009
400010	10010
400011	10011
400012	10012
400013	10013
400014	10014
400015	10018
400016	10019
400017	10020
400018	1000003
400019	1000003
400020	1000003
400021	1000003
400022	1000002
400023	1000002
400024	1000002
400025	1000002
400026	1000003
400027	1000003
400028	1000003
400029	1000001
400030	1000002
400031	1000002
400032	1000002
400033	1000001
400034	10017
400035	10015
400036	10016
400037	10043
400038	10043
400039	10043
400040	10043
400041	10043
400042	10043
400043	10045
400044	10045
400045	10045
400046	10045
400047	10045
400048	10045
400049	10047
400050	10047
400051	10047
400052	10047
400053	10047
400054	10047
400055	10047
400056	10048
400057	10048
400058	10048
400059	10048
400060	10048
400061	10048
400062	10048
400063	6
500000	1000
500001	1001
500002	1002
500003	1003
500004	1004
500005	1005
500006	1006
500007	1007
500008	1008
500009	1009
500010	1010
500011	10
500012	1011
500013	1012
500014	1013
500015	15
500016	1015
500017	1016
500018	1017
500019	1018
500020	1019
500021	8
500022	1102
500100	901000
500101	901001
500102	901002
500103	901003
500104	901004
500105	901005
500106	901006
500107	901007
500108	901008
500200	902000
1000001	1000001
1000002	1000001
1000003	1000001
1000004	1000001
1000005	1000001
1000006	1000001
1000007	1000001
1000008	1000001
1000009	1000001
1000010	1000001
1000011	1000001
1000012	1000001
1000013	1000002
1000014	1000002
1000015	1000002
1000016	1000001
1000017	1000002
1000018	1000002
1000019	1000002
1000020	1000002
1000021	1000001
1000022	1000001
1000023	1000001
1000024	1000001
1000025	1000001
1000027	1000001
1000028	1000001
1000029	1000001
1000030	1000001
1000031	1000001
1000032	1000001
1000033	1000002
1000034	1000002
1000036	1000001
1000037	1000002
1000038	1000002
1000039	1000001
1000040	1000002
1000041	1000002
1000042	1000003
1000043	1000001
1000044	1000001
1000045	1000001
1000046	1000001
1000047	1000001
1000048	1000001
1000049	1000001
1000050	1000001
1000051	1000001
1000052	1000001
1000053	1000002
1000054	1000002
1000055	1000002
1000056	1000001
1000057	1000001
1000058	1000001
1000059	1000001
1000060	1000001
1000061	1000001
1000062	1000001
1000063	1000001
1000064	1000001
1000065	1000001
1000066	1000001
1000067	1000001
1000068	1000001
1000069	1000002
1000070	1000002
1000071	1000002
1000072	1000002
1000073	1000003
1000074	1000001
1000075	1000001
1000076	1000001
1000077	1000001
1000078	1000002
1000079	1000001
1000080	1000002
1000081	1000003
1000082	1000002
1000083	1000001
1000084	1000001
1000085	1000001
1000086	1000001
1000088	1000001
1000089	1000001
1000090	1000001
1000091	1000001
1000092	1000001
1000093	1000001
1000094	1000002
1000095	1000001
1000096	1000003
1000097	1000002
1000098	1000002
1000100	1000001
1000101	1000001
1000102	1000002
1000103	1000002
1000104	1000001
1000105	1000003
1000106	1000002
1000107	1000002
1000108	1000003
1000109	1000002
1000110	1000001
1000111	1000001
1000112	1000002
