82	604800	0	0	0	0	0	0
83	604800	0	0	0	0	0	0
84	604800	0	0	0	0	0	0
85	604800	0	0	0	0	0	0
86	604800	0	0	0	0	0	0
87	604800	0	0	0	0	0	0
88	604800	0	0	0	0	0	0
89	604800	0	0	0	0	0	0
90	604800	0	0	0	0	0	0
91	604800	0	0	0	0	0	0
92	604800	0	0	0	0	0	0
93	604800	0	0	0	0	0	0
94	604800	0	0	0	0	0	0
95	604800	0	0	0	0	0	0
96	604800	0	0	0	0	0	0
5	0	7	1	600	9	1	600
7	0	7	1	400	9	1	400
9	0	7	1	200	9	1	200
11	0	8	1	600	10	1	600
13	0	8	1	400	10	1	400
15	0	8	1	200	10	1	200
17	0	14	1	600	0	0	0
19	0	14	1	400	0	0	0
21	0	14	1	200	0	0	0
23	0	15	1	600	0	0	0
25	0	15	1	400	0	0	0
27	0	15	1	200	0	0	0
29	0	15	1	600	0	0	0
31	0	15	1	400	0	0	0
33	0	15	1	200	0	0	0
35	0	14	1	600	0	0	0
37	0	14	1	400	0	0	0
39	0	14	1	200	0	0	0
40	0	7	1	1000	9	1	1000
41	0	8	1	600	10	1	600
42	0	8	1	400	10	1	400
43	0	8	1	200	10	1	200
62	0	7	1	1000	9	1	1000
1	172800	7	1	500	9	1	500
2	172800	7	1	500	9	1	500
3	172800	7	1	500	9	1	500
4	172800	7	1	500	9	1	500
44	0	18	0	1000	11	0	2500
50	604800	7	1	600	9	1	600
51	604800	7	1	300	9	1	300
55	259200	16	1	300	0	0	0
56	259200	16	1	200	0	0	0
57	259200	16	1	100	0	0	0
60	2592000	8	0	200	10	0	200
61	2592000	8	0	400	10	0	400
64	432000	16	0	800	0	0	0
65	432000	15	0	400	0	0	0
66	432000	7	0	400	9	0	400
67	1209600	8	1	500	10	1	500
68	1209600	7	1	500	9	1	500
69	259200	15	1	300	0	0	0
70	259200	15	1	200	0	0	0
71	259200	15	1	100	0	0	0
72	604800	7	1	600	9	1	600
73	604800	7	1	600	9	1	600
74	0	11	0	999	3	0	999
75	0	11	0	999	3	0	999
76	604800	19	0	80	18	1	500
77	259200	11	1	300	0	0	0
78	259200	11	1	600	0	0	0
79	259200	7	1	300	9	1	300
80	259200	7	1	600	9	1	600
81	2592000	7	1	1000	9	1	1000
100	0	11	0	50	0	0	0
