1	2000	0	4	2,5;3,2;4,1	1
2	2600	0	4	2,5;3,2;4,1	1
3	3100	0	4	2,5;3,2;4,1	1
4	3900	0	4	2,5;3,2;4,1	1
5	4900	50	6	2,5;3,2;4,1	1
6	6100	40	6	2,5;3,2;4,1	1
7	7300	40	6	2,5;3,2;4,1	1
8	8600	40	6	2,5;3,2;4,1	1
9	9800	40	6	2,5;3,2;4,1	1
10	11600	40	7	2,5;3,2;4,1	1
11	12800	40	7	2,5;3,2;4,1	1
12	14100	40	7	2,5;3,2;4,1	1
13	16900	40	7	2,5;3,2;4,1	1
14	20300	40	7	2,5;3,2;4,1	1
15	26400	40	8	2,5;3,2;4,1	1
16	35900	40	8	2,5;3,2;4,1	1
17	48800	40	8	2,5;3,2;4,1	1
18	61000	40	8	2,5;3,2;4,1	1
19	73200	50	8	2,5;3,2;4,1	1
20	117100	50	9	2,5;3,2;4,1	2
21	152200	50	9	2,5;3,2;4,1	2
22	178100	50	9	2,5;3,2;4,1	2
23	185200	50	9	2,5;3,2;4,1	2
24	193000	50	9	2,5;3,2;4,1	2
25	200800	50	9	2,5;3,2;4,1	2
26	220900	50	9	2,5;3,2;4,1	2
27	243000	50	9	2,5;3,2;4,1	2
28	267300	50	9	2,5;3,2;4,1	2
29	320800	50	9	2,5;3,2;4,1	2
30	352900	60	10	2,5;3,2;4,1	2
31	388200	60	10	2,5;3,2;4,1	2
32	427000	60	10	2,5;3,2;4,1	2
33	469700	60	10	2,5;3,2;4,1	2
34	516700	60	10	2,5;3,2;4,1	2
35	568400	60	10	2,5;3,2;4,1	2
36	625200	60	10	2,5;3,2;4,1	2
37	681500	60	10	2,5;3,2;4,1	2
38	742800	60	10	2,5;3,2;4,1	2
39	817100	60	10	2,5;3,2;4,1	2
40	1103100	70	10	2,5;3,2;4,1	3
41	1268600	70	10	2,5;3,2;4,1	3
42	1458900	70	10	2,5;3,2;4,1	3
43	1677700	70	10	2,5;3,2;4,1	3
44	1929400	70	10	2,5;3,2;4,1	3
45	2546800	70	10	2,5;3,2;4,1	3
46	2928800	70	10	2,5;3,2;4,1	3
47	3368100	70	10	2,5;3,2;4,1	3
48	3873300	70	10	2,5;3,2;4,1	3
49	4454300	70	10	2,5;3,2;4,1	3
50	5790600	80	10	2,5;3,2;4,1	3
51	6369700	80	10	2,5;3,2;4,1	3
52	7006700	80	10	2,5;3,2;4,1	3
53	7707400	80	10	2,5;3,2;4,1	3
54	8478100	80	10	2,5;3,2;4,1	3
55	9325900	80	10	2,5;3,2;4,1	3
56	10258500	80	10	2,5;3,2;4,1	3
57	11284400	80	10	2,5;3,2;4,1	3
58	12412800	80	10	2,5;3,2;4,1	3
59	13654100	80	10	2,5;3,2;4,1	3
60	0	90	10	2,5;3,2;4,1	3
