100	怪物0到1物理	0	2	0	0	0	0	0	0	2	1	0	0	2	1	2	2	1
101	长斧攻击	1	2	0	0	0	1	0	0	2	1	0	0	2	1	2	2	1
102	弓箭攻击	3	2	0	0	0	8	0	0	2	1	0	0	2	1	11	2	1
103	剑气攻击	2	2	0	0	0	2	0	0	2	1	0	0	2	1	9	2	1
104	符咒攻击	4	2	0	0	0	4	0	0	2	1	0	0	2	2	7	2	1
105	怪物0到1法术	0	2	0	0	0	0	0	0	2	1	0	0	2	1	2	2	0
106	宠物攻击	0	2	0	0	0	0	0	0	2	1	0	0	2	1	2	2	0
107	怪物0到2法术	0	2	0	0	0	0	0	0	2	1	0	0	2	1	2	2	0
108	怪物0到3物理	0	2	0	0	0	0	0	0	2	1	0	0	2	1	3	2	0
109	怪物0到3法术	0	2	0	0	0	0	0	0	2	1	0	0	2	1	3	2	0
110	怪物0到4物理	0	2	0	0	0	0	0	0	2	1	0	0	2	1	4	2	0
111	怪物0到4法术	0	2	0	0	0	0	0	0	2	1	0	0	2	1	4	2	0
112	怪物0到5物理	0	2	0	0	0	0	0	0	2	1	0	0	2	1	5	2	0
113	怪物0到5法术	0	2	0	0	0	0	0	0	2	1	0	0	2	1	5	2	0
114	怪物0到6物理	0	2	0	0	0	0	0	0	2	1	0	0	2	1	6	2	0
115	怪物0到6法术	0	2	0	0	0	0	0	0	2	1	0	0	2	1	6	2	0
116	怪物0到11物理	0	2	0	0	0	0	0	0	2	1	0	0	2	1	11	2	0
117	怪物0到11法术	0	2	0	0	0	0	0	0	2	1	0	0	2	1	11	2	0
121	骑乘	0	1	0	2	0	0	0	0	2	1	0	0	1	1	9	2	0
123	宠物出战	0	1	0	2	0	0	0	0	2	1	0	0	1	1	9	2	0
140	单体塔普通攻击	0	2	0	0	0	0	0	0	2	1	0	0	2	0	18	2	0
141	群体塔普通攻击	0	1	0	0	0	0	0	0	2	4	11	0	2	0	18	2	0
142	辅助塔普通攻击	0	2	0	0	0	0	0	0	2	1	0	0	2	0	18	2	0
143	投石车攻击	0	3	0	0	0	0	0	0	0	4	4	0	256	0	20	2	0
201	瞬间移动	0	3	0	9	0	0	0	0	1	1	0	0	1	1	20	1	0
202	加速	0	1	0	9	0	0	0	0	2	0	0	0	1	0	0	1	0
203	击退	0	1	0	9	0	0	0	0	2	4	4	0	2	0	0	1	0
204	毁灭	0	2	0	9	0	0	0	0	2	1	0	0	2	1	2	1	0
300	龙纹命中	0	0	0	8	0	0	0	0	2	0	0	0	1	0	0	1	0
301	龙纹闪避	0	0	0	8	0	0	0	0	2	0	0	0	1	0	0	1	0
302	龙纹攻击	0	0	0	8	0	0	0	0	2	0	0	0	1	0	0	1	0
303	龙纹防御	0	0	0	8	0	0	0	0	2	0	0	0	1	0	0	1	0
304	龙纹暴击	0	0	0	8	0	0	0	0	2	0	0	0	1	0	0	1	0
305	龙纹抵挡	0	0	0	8	0	0	0	0	2	0	0	0	1	0	0	1	0
306	龙纹暴击效果	0	0	0	8	0	0	0	0	2	0	0	0	1	0	0	1	0
307	龙纹吸血	0	4	0	8	0	0	0	0	2	0	0	0	1	0	0	1	0
308	龙纹移动	0	0	0	8	0	0	0	0	2	0	0	0	1	0	0	1	0
309	龙纹减速攻击	0	0	0	8	0	0	0	0	2	0	0	0	1	0	0	1	0
