535005001	5	12	1	50	1|5	3	1000	100
535005002	5	14	1	50	1|5	3	1000	100
535005003	5	16	1	50	1|5	3	1000	100
535005004	5	15	1	50	1|5	3	1000	100
535005005	5	13	1	50	1|5	3	1000	100
531005001	1	12	1	50	1|5	3	1000	100
531005002	1	14	1	50	1|5	3	1000	100
531005003	1	16	1	50	1|5	3	1000	100
531005004	1	15	1	50	1|5	3	1000	100
531005005	1	13	1	50	1|5	3	1000	100
533005001	3	12	1	50	1|5	3	1000	100
533005002	3	14	1	50	1|5	3	1000	100
533005003	3	16	1	50	1|5	3	1000	100
533005004	3	15	1	50	1|5	3	1000	100
533005005	3	13	1	50	1|5	3	1000	100
532005001	2	12	1	50	1|5	3	1000	100
532005002	2	14	1	50	1|5	3	1000	100
532005003	2	16	1	50	1|5	3	1000	100
532005004	2	15	1	50	1|5	3	1000	100
532005005	2	13	1	50	1|5	3	1000	100
