1	1000	1	10	0	1	1010011|1020011
2	1000	1	10	0	1	1030011|1040011
3	1001	1	10	1	5	9800011
4	1001	1	10	1	3	9810011
5	1001	1	10	1	2	9820011
6	1001	2	10	1	5	9800011
7	1001	2	10	1	2	9810011
8	1001	2	10	1	3	9820011
9	1001	3	10	1	4	9800011
10	1001	3	10	1	4	9810011
11	1001	3	10	1	2	9820011
12	1001	3	10	1	4	9800011
13	1001	3	10	1	3	9810011
14	1001	3	10	1	3	9820011
15	1001	4	10	1	3	9800011
16	1001	4	10	1	4	9810011
17	1001	4	10	1	3	9820011
18	1001	5	10	1	3	9800011
19	1001	5	10	1	5	9810011
20	1001	5	10	1	2	9820011
21	1002	1	10	1	5	5080021|5050021|5050021|6110021|6110021
22	1003	1	10	1	1	1740011
23	1003	2	10	1	1	1760011
24	1004	1	10	1	1	3000011|3010011|3020011
25	1004	2	10	1	1	3010011|3010011|3010011|3010011
26	1004	3	10	1	1	3000011|3000011|3000011|3000011
27	1005	1	50	1	1	9810011
28	1005	2	50	1	1	9820021
29	1006	1	20	1	1	6490021
30	1006	2	80	1	1	0
