1	230	600000001	460	600000008	50	50|100|150|200|200|250|250|300|350|400|400|400|400|400|400|400|400	1
2	242	600000001	483	600000008	50	50|100|150|200|200|250|250|300|350|400|400|400|400|400|400|400|400	1
3	265	600000001	529	600000008	50	50|100|150|200|200|250|250|300|350|400|400|400|400|400|400|400|400	1
4	276	600000001	552	600000008	50	50|100|150|200|200|250|250|300|350|400|400|400|400|400|400|400|400	1
5	299	600000001	598	600000008	50	50|100|150|200|200|250|250|300|350|400|400|400|400|400|400|400|400	1
6	322	600000001	644	600000008	50	50|100|150|200|200|250|250|300|350|400|400|400|400|400|400|400|400	1
7	345	600000001	690	600000008	50	50|100|150|200|200|250|250|300|350|400|400|400|400|400|400|400|400	1
8	368	600000001	736	600000008	50	50|100|150|200|200|250|250|300|350|400|400|400|400|400|400|400|400	1
9	391	600000001	782	600000008	50	50|100|150|200|200|250|250|300|350|400|400|400|400|400|400|400|400	1
10	432	600000001	864	600000008	50	50|100|150|200|200|250|250|300|350|400|400|400|400|400|400|400|400	1
11	468	600000001	936	600000008	50	50|100|150|200|200|250|250|300|350|400|400|400|400|400|400|400|400	1
12	492	600000001	984	600000008	50	50|100|150|200|200|250|250|300|350|400|400|400|400|400|400|400|400	1
13	516	600000001	1032	600000008	50	50|100|150|200|200|250|250|300|350|400|400|400|400|400|400|400|400	1
14	552	600000001	1104	600000008	50	50|100|150|200|200|250|250|300|350|400|400|400|400|400|400|400|400	1
15	588	600000001	1176	600000008	50	50|100|150|200|200|250|250|300|350|400|400|400|400|400|400|400|400	1
16	638	600000001	1275	600000008	50	50|100|150|200|200|250|250|300|350|400|400|400|400|400|400|400|400	1
17	675	600000001	1350	600000008	50	50|100|150|200|200|250|250|300|350|400|400|400|400|400|400|400|400	1
18	713	600000001	1425	600000008	50	50|100|150|200|200|250|250|300|350|400|400|400|400|400|400|400|400	1
19	763	600000001	1525	600000008	50	50|100|150|200|200|250|250|300|350|400|400|400|400|400|400|400|400	1
20	813	600000001	1625	600000008	50	50|100|150|200|200|250|250|300|350|400|400|400|400|400|400|400|400	1
21	884	600000001	1768	600000008	50	50|100|150|200|200|250|250|300|350|400|400|400|400|400|400|400|400	1
22	936	600000001	1872	600000008	50	50|100|150|200|200|250|250|300|350|400|400|400|400|400|400|400|400	1
23	1001	600000001	2002	600000008	50	50|100|150|200|200|250|250|300|350|400|400|400|400|400|400|400|400	1
