200000001	远古邀请函（绑）	3	0	0	0	3	0		0	1	2	0	0	0	600000007	100	0	0	0	999				10000			0	0				0	
200000002	深渊邀请函（绑）	3	0	0	0	3	0		0	1	2	0	0	0	600000007	100	0	0	0	999				20000			0	0				0	
200000003	远古邀请函	3	0	0	0	3	0		0	1	1	0	0	0	600000007	100	0	0	0	999				750			0	0				0	
200000004	深渊邀请函	3	0	0	0	3	0		0	1	1	0	0	0	600000007	100	0	0	0	999				1500			0	0				0	
200000005	武道大会入场券	3	0	0	0	3	0		0	1	1	0	0	0	600000007	100	0	0	0	999				1500			0	0				0	
200000301	+10强化券(100%)	3	33	0	0	5	0		0	1	2	0	0	0	600000007	1	0	0	0	99				100000			1	0				0	
200000302	+12强化券(30%)	3	33	0	0	5	0		0	1	2	0	0	0	600000007	1	0	0	0	99				100000			1	0				0	
200000303	+11强化券(30%)	3	33	0	0	5	0		0	1	2	0	0	0	600000007	1	0	0	0	99				100000			1	0				0	
200000304	+10强化券(30%)	3	33	0	0	5	0		0	1	2	0	0	0	600000007	1	0	0	0	99				100000			1	0				0	
200000305	+9强化券(30%)	3	33	0	0	3	0		0	1	2	0	0	0	600000007	1	0	0	0	99				100000			1	0				0	
200000306	+8强化券(30%)	3	33	0	0	3	0		0	1	2	0	0	0	600000007	1	0	0	0	99				100000			1	0				0	
200000307	+7强化券(30%)	3	33	0	0	3	0		0	1	2	0	0	0	600000007	1	0	0	0	99				100000			1	0				0	
200000308	+6强化券(30%)	3	33	0	0	3	0		0	1	2	0	0	0	600000007	1	0	0	0	99				100000			1	0				0	
200000309	+5强化券(30%)	3	33	0	0	3	0		0	1	2	0	0	0	600000007	1	0	0	0	99				100000			1	0				0	
200000310	强化保护券	3	0	0	0	5	0		0	1	2	0	0	0	600000007	1	0	0	0	99				100000			1	0				0	
200000311	+10强化券(80%)	3	33	0	0	5	0		0	1	2	0	0	0	600000007	1	0	0	0	99				100000			1	0				0	
200000312	+11强化券(100%)	3	33	0	0	5	0		0	1	2	0	0	0	600000007	1	0	0	0	99				100000			1	0				0	
200000313	+10强化券(100%)	3	33	0	0	5	0		0	1	2	0	0	0	600000007	1	0	0	259200	1				100000			1	0				0	
200000314	+12强化券(30%)	3	33	0	0	5	0		0	1	1	0	0	0	600000007	1	0	0	0	99				3000000			1	0				0	
200000315	+11强化券(30%)	3	33	0	0	5	0		0	1	1	0	0	0	600000007	1	0	0	0	99				800000			1	0				0	
