1	1	拥有1只宠物	2	210	0	0	0	0	0	11	5	10	0	0	0	37901	0	3
2	1	拥有1匹坐骑	3	310	1	20	0	0	0	11	5	10	0	0	0	21	0	1
3	1	拥有5名好友	5	510	5	0	0	0	0	11	5	10	0	0	0	22	0	5
4	1	将炼魂提升至炼元中期第一层	1	130	11	0	0	0	0	11	5	10	0	0	0	30	0	1
6	2	通关：九玄洞	4	460	401	0	0	0	0	11	5	15	0	0	0	43204	0	3
7	2	创建或加入部落	5	531	0	0	0	0	0	11	5	15	0	0	0	36001	0	5
8	2	挑战封魔塔至第11层	4	430	111	0	0	0	0	11	5	15	0	0	0	36042	0	3
9	2	将炼魂提升至筑基中期第一层	1	130	41	0	0	0	0	11	5	15	0	0	0	31	0	2
10	2	通关：阴风洞	4	460	501	0	0	0	0	11	5	10	0	0	0	36001	0	3
11	3	人物战斗力达到3000	1	120	3000	0	0	0	0	11	5	20	34002	3	3	34004	3	3
12	3	装备一把强化+7的武器	3	320	7	0	0	0	0	11	5	20	0	0	0	36042	0	3
13	3	宠物等级达到45级	2	220	45	0	0	0	0	11	5	20	0	0	0	43214	0	2
15	3	通关：真·狐首丘	4	460	506	0	0	0	0	11	5	20	21	0	1	36049	0	5
16	4	战力达到25000	1	120	25000	0	0	0	0	11	5	25	0	0	0	133	0	3
19	5	角色等级到达60级	1	110	60	0	0	0	0	11	5	30	0	0	0	36055	0	2
21	5	击杀一次祭祀坛BOSS	4	421	112201	112202	112203	112204	0	11	5	30	0	0	0	34	0	1
22	3	挑战通天塔至第1层	4	430	201	0	0	0	0	11	5	20	36042	0	3	36002	0	3
23	4	挑战通天塔至第15层	4	430	215	0	0	0	0	11	5	25	0	0	0	1107	4	3
