1	1	1500	1	200	300	400	550	700	850	1000	1150	1310	1460	1610	1810	2010	2210	2410	2620	2820	3020	3270	3520	3780	4030	4280	4580	5040
2	2	1000	1	20	30	40	55	70	85	100	115	131	146	161	181	201	221	241	262	282	302	327	352	378	403	428	458	504
3	3	1500	1	32	48	64	88	112	136	160	184	210	234	258	290	322	354	386	419	451	483	523	563	605	645	685	733	806
4	6	1000	1	10	15	20	28	35	43	50	58	66	73	81	91	101	111	121	131	141	151	164	176	189	202	214	229	252
5	7	1500	1	10	15	20	28	35	43	50	58	66	73	81	91	101	111	121	131	141	151	164	176	189	202	214	229	252
6	11	0	1	10	20	30	40	50	60	70	80	90	100	110	120	130	140	150	160	170	180	190	200	210	220	230	240	250
7	12	0	1	10	20	30	40	50	60	70	80	90	100	110	120	130	140	150	160	170	180	190	200	210	220	230	240	250
8	14	300	1	5	8	10	14	18	21	25	29	33	37	40	45	50	55	60	66	71	76	82	88	95	101	107	115	126
9	15	1000	1	5	8	10	14	18	21	25	29	33	37	40	45	50	55	60	66	71	76	82	88	95	101	107	115	126
10	16	1000	1	5	8	10	14	18	21	25	29	33	37	40	45	50	55	60	66	71	76	82	88	95	101	107	115	126
11	17	500	1	5	8	10	14	18	21	25	29	33	37	40	45	50	55	60	66	71	76	82	88	95	101	107	115	126
12	18	1000	1	5	8	10	14	18	21	25	29	33	37	40	45	50	55	60	66	71	76	82	88	95	101	107	115	126
13	19	1000	1	5	8	10	14	18	21	25	29	33	37	40	45	50	55	60	66	71	76	82	88	95	101	107	115	126
14	20	1000	1	5	8	10	14	18	21	25	29	33	37	40	45	50	55	60	66	71	76	82	88	95	101	107	115	126
15	21	1000	1	5	8	10	14	18	21	25	29	33	37	40	45	50	55	60	66	71	76	82	88	95	101	107	115	126
16	1	1500	2	200	300	400	550	700	850	1000	1150	1310	1460	1610	1810	2010	2210	2410	2620	2820	3020	3270	3520	3780	4030	4280	4580	5040
17	2	1000	2	20	30	40	55	70	85	100	115	131	146	161	181	201	221	241	262	282	302	327	352	378	403	428	458	504
18	3	1500	2	32	48	64	88	112	136	160	184	210	234	258	290	322	354	386	419	451	483	523	563	605	645	685	733	806
19	6	1000	2	10	15	20	28	35	43	50	58	66	73	81	91	101	111	121	131	141	151	164	176	189	202	214	229	252
20	7	1500	2	10	15	20	28	35	43	50	58	66	73	81	91	101	111	121	131	141	151	164	176	189	202	214	229	252
21	11	0	2	10	20	30	40	50	60	70	80	90	100	110	120	130	140	150	160	170	180	190	200	210	220	230	240	250
22	12	0	2	10	20	30	40	50	60	70	80	90	100	110	120	130	140	150	160	170	180	190	200	210	220	230	240	250
23	14	300	2	5	8	10	14	18	21	25	29	33	37	40	45	50	55	60	66	71	76	82	88	95	101	107	115	126
24	15	1000	2	5	8	10	14	18	21	25	29	33	37	40	45	50	55	60	66	71	76	82	88	95	101	107	115	126
25	16	1000	2	5	8	10	14	18	21	25	29	33	37	40	45	50	55	60	66	71	76	82	88	95	101	107	115	126
26	17	500	2	5	8	10	14	18	21	25	29	33	37	40	45	50	55	60	66	71	76	82	88	95	101	107	115	126
27	18	1000	2	5	8	10	14	18	21	25	29	33	37	40	45	50	55	60	66	71	76	82	88	95	101	107	115	126
28	19	1000	2	5	8	10	14	18	21	25	29	33	37	40	45	50	55	60	66	71	76	82	88	95	101	107	115	126
29	20	1000	2	5	8	10	14	18	21	25	29	33	37	40	45	50	55	60	66	71	76	82	88	95	101	107	115	126
30	21	1000	2	5	8	10	14	18	21	25	29	33	37	40	45	50	55	60	66	71	76	82	88	95	101	107	115	126
31	1	1500	3	200	300	400	550	700	850	1000	1150	1310	1460	1610	1810	2010	2210	2410	2620	2820	3020	3270	3520	3780	4030	4280	4580	5040
32	2	1000	3	20	30	40	55	70	85	100	115	131	146	161	181	201	221	241	262	282	302	327	352	378	403	428	458	504
33	3	1500	3	32	48	64	88	112	136	160	184	210	234	258	290	322	354	386	419	451	483	523	563	605	645	685	733	806
34	6	1000	3	10	15	20	28	35	43	50	58	66	73	81	91	101	111	121	131	141	151	164	176	189	202	214	229	252
35	7	1500	3	10	15	20	28	35	43	50	58	66	73	81	91	101	111	121	131	141	151	164	176	189	202	214	229	252
36	11	0	3	10	20	30	40	50	60	70	80	90	100	110	120	130	140	150	160	170	180	190	200	210	220	230	240	250
37	12	0	3	10	20	30	40	50	60	70	80	90	100	110	120	130	140	150	160	170	180	190	200	210	220	230	240	250
38	14	300	3	5	8	10	14	18	21	25	29	33	37	40	45	50	55	60	66	71	76	82	88	95	101	107	115	126
39	15	1000	3	5	8	10	14	18	21	25	29	33	37	40	45	50	55	60	66	71	76	82	88	95	101	107	115	126
40	16	1000	3	5	8	10	14	18	21	25	29	33	37	40	45	50	55	60	66	71	76	82	88	95	101	107	115	126
41	17	500	3	5	8	10	14	18	21	25	29	33	37	40	45	50	55	60	66	71	76	82	88	95	101	107	115	126
42	18	1000	3	5	8	10	14	18	21	25	29	33	37	40	45	50	55	60	66	71	76	82	88	95	101	107	115	126
43	19	1000	3	5	8	10	14	18	21	25	29	33	37	40	45	50	55	60	66	71	76	82	88	95	101	107	115	126
44	20	1000	3	5	8	10	14	18	21	25	29	33	37	40	45	50	55	60	66	71	76	82	88	95	101	107	115	126
45	21	1000	3	5	8	10	14	18	21	25	29	33	37	40	45	50	55	60	66	71	76	82	88	95	101	107	115	126
