400	1	强身壮体	3000	200
400	2	强身壮体	3210	230
400	3	强身壮体	3434	260
400	4	强身壮体	3674	290
400	5	强身壮体	3931	320
400	6	强身壮体	4206	350
400	7	强身壮体	4500	380
400	8	强身壮体	4815	410
400	9	强身壮体	5152	440
400	10	强身壮体	5512	470
400	11	强身壮体	5897	500
400	12	强身壮体	6309	530
400	13	强身壮体	6750	560
400	14	强身壮体	7222	590
400	15	强身壮体	7727	620
400	16	强身壮体	8267	650
400	17	强身壮体	8845	680
400	18	强身壮体	9464	710
400	19	强身壮体	10126	740
400	20	强身壮体	10834	770
400	21	强身壮体	11592	800
400	22	强身壮体	12403	830
400	23	强身壮体	13271	860
400	24	强身壮体	14199	890
400	25	强身壮体	15192	920
400	26	强身壮体	16255	950
400	27	强身壮体	17392	980
400	28	强身壮体	18609	1010
400	29	强身壮体	19911	1040
400	30	强身壮体	21304	1070
400	31	强身壮体	22795	1100
400	32	强身壮体	24390	1130
400	33	强身壮体	26097	1160
400	34	强身壮体	27923	1190
400	35	强身壮体	29877	1220
400	36	强身壮体	31968	1250
400	37	强身壮体	34205	1280
400	38	强身壮体	36599	1310
400	39	强身壮体	39160	1340
400	40	强身壮体	41901	1370
400	41	强身壮体	44834	1400
400	42	强身壮体	47972	1430
400	43	强身壮体	51330	1460
400	44	强身壮体	54923	1490
400	45	强身壮体	58767	1520
400	46	强身壮体	62880	1550
400	47	强身壮体	67281	1580
400	48	强身壮体	71990	1610
400	49	强身壮体	77029	1640
400	50	强身壮体	82421	1670
401	1	凝神聚气	3000	200
401	2	凝神聚气	3210	230
401	3	凝神聚气	3434	260
401	4	凝神聚气	3674	290
401	5	凝神聚气	3931	320
401	6	凝神聚气	4206	350
401	7	凝神聚气	4500	380
401	8	凝神聚气	4815	410
401	9	凝神聚气	5152	440
401	10	凝神聚气	5512	470
401	11	凝神聚气	5897	500
401	12	凝神聚气	6309	530
401	13	凝神聚气	6750	560
401	14	凝神聚气	7222	590
401	15	凝神聚气	7727	620
401	16	凝神聚气	8267	650
401	17	凝神聚气	8845	680
401	18	凝神聚气	9464	710
401	19	凝神聚气	10126	740
401	20	凝神聚气	10834	770
401	21	凝神聚气	11592	800
401	22	凝神聚气	12403	830
401	23	凝神聚气	13271	860
401	24	凝神聚气	14199	890
401	25	凝神聚气	15192	920
401	26	凝神聚气	16255	950
401	27	凝神聚气	17392	980
401	28	凝神聚气	18609	1010
401	29	凝神聚气	19911	1040
401	30	凝神聚气	21304	1070
401	31	凝神聚气	22795	1100
401	32	凝神聚气	24390	1130
401	33	凝神聚气	26097	1160
401	34	凝神聚气	27923	1190
401	35	凝神聚气	29877	1220
401	36	凝神聚气	31968	1250
401	37	凝神聚气	34205	1280
401	38	凝神聚气	36599	1310
401	39	凝神聚气	39160	1340
401	40	凝神聚气	41901	1370
401	41	凝神聚气	44834	1400
401	42	凝神聚气	47972	1430
401	43	凝神聚气	51330	1460
401	44	凝神聚气	54923	1490
401	45	凝神聚气	58767	1520
401	46	凝神聚气	62880	1550
401	47	凝神聚气	67281	1580
401	48	凝神聚气	71990	1610
401	49	凝神聚气	77029	1640
401	50	凝神聚气	82421	1670
402	1	战神诀	3000	200
402	2	战神诀	3210	230
402	3	战神诀	3434	260
402	4	战神诀	3674	290
402	5	战神诀	3931	320
402	6	战神诀	4206	350
402	7	战神诀	4500	380
402	8	战神诀	4815	410
402	9	战神诀	5152	440
402	10	战神诀	5512	470
402	11	战神诀	5897	500
402	12	战神诀	6309	530
402	13	战神诀	6750	560
402	14	战神诀	7222	590
402	15	战神诀	7727	620
402	16	战神诀	8267	650
402	17	战神诀	8845	680
402	18	战神诀	9464	710
402	19	战神诀	10126	740
402	20	战神诀	10834	770
402	21	战神诀	11592	800
402	22	战神诀	12403	830
402	23	战神诀	13271	860
402	24	战神诀	14199	890
402	25	战神诀	15192	920
402	26	战神诀	16255	950
402	27	战神诀	17392	980
402	28	战神诀	18609	1010
402	29	战神诀	19911	1040
402	30	战神诀	21304	1070
402	31	战神诀	22795	1100
402	32	战神诀	24390	1130
