1	公会自费红包	1	100	10|15|20	1	50	600000002	600000008	1
2	公会自费红包	1	200	10|15|20	1	50	600000002	600000008	1
3	公会自费红包	1	500	10|15|20|25	1	100	600000002	600000008	1
4	公会自费红包	1	1000	10|15|20|25|30	1	150	600000002	600000008	1
5	公会自费红包	1	1500	10|15|20|25|30	1	200	600000002	600000008	1
6	公会自费红包	1	2000	10|15|20|25|30	1	250	600000002	600000008	1
7	首次充值	1	200	10	1	50	600000002	600000008	2
8	达到VIP5	1	300	10	1	50	600000002	600000008	2
9	达到VIP7	1	500	15	1	50	600000002	600000008	2
10	达到VIP9	1	1000	25	1	100	600000002	600000008	2
11	购买月卡	1	150	15	1	50	600000002	600000008	2
12	首次强化到10	1	150	15	1	20	600000002	600000008	2
13	首次爬塔20层	1	100	10	1	20	600000002	600000008	2
14	首次爬塔50层	1	150	15	1	50	600000002	600000008	2
15	首次爬塔60层	1	200	20	1	50	600000002	600000008	2
16	获得神器品质随从	1	200	15	1	25	600000002	600000008	2
