1	1000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10	2000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
20	3000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
30	4000	31002	31001	31241	10000	10	5	20	31171	31178	31185	31192	31199	31206	31213	31220	31227	31234	31234	31234	50000	20	25	50	31101	31108	31115	31122	31129	31136	31143	31150	31157	31164	31164	31164
40	5000	31004	31003	31242	20000	20	10	40	31172	31179	31186	31193	31200	31207	31214	31221	31228	31235	31235	31235	100000	40	50	100	31102	31109	31116	31123	31130	31137	31144	31151	31158	31165	31165	31165
50	6000	31006	31005	31243	30000	30	15	60	31173	31180	31187	31194	31201	31208	31215	31222	31229	31236	31236	31236	150000	60	75	150	31103	31110	31117	31124	31131	31138	31145	31152	31159	31166	31166	31166
60	7000	31008	31007	31244	40000	40	20	80	31174	31181	31188	31195	31202	31209	31216	31223	31230	31237	31237	31237	200000	80	100	200	31104	31111	31118	31125	31132	31139	31146	31153	31160	31167	31167	31167
70	8000	31010	31009	31245	50000	50	25	100	31175	31182	31189	31196	31203	31210	31217	31224	31231	31238	31238	31238	250000	100	125	250	31105	31112	31119	31126	31133	31140	31147	31154	31161	31168	31168	31168
80	9000	31012	31011	31246	60000	60	30	120	31176	31183	31190	31197	31204	31211	31218	31225	31232	31239	31239	31239	300000	120	150	300	31106	31113	31120	31127	31134	31141	31148	31155	31162	31169	31169	31169
90	10000	31014	31013	31247	70000	70	35	140	31177	31184	31191	31198	31205	31212	31219	31226	31233	31240	31240	31240	350000	140	175	350	31107	31114	31121	31128	31135	31142	31149	31156	31163	31170	31170	31170
