1	1	120
2	2	200
3	3	999999
4	4	5
5	5	3
6	6	5
7	7	10
8	8	20
9	9	50
10	10	200
11	11	4
12	12	1
13	13	3
14	14	0
15	15	20
16	16	2
17	17	0
18	18	20
19	19	120
20	20	1
21	21	10
22	22	5
23	23	8
24	24	5
25	25	300000105
26	26	300000106
27	27	200000310
28	28	200000301
29	29	600000007
30	30	100
40	40	10000
41	41	600000001
50	50	50000
51	51	600000001
60	60	100000
61	61	600000001
70	70	200000
71	71	600000001
80	80	300000
81	81	600000001
90	90	500000
91	91	600000001
100	100	1000000
101	101	600000001
110	110	300
111	111	10
112	112	10
113	113	50
114	114	100
115	115	200
116	116	3
117	117	10000
118	118	100
119	119	50
120	120	7
121	121	50
122	122	4
123	123	1
124	124	3
125	125	20
126	126	5
127	127	10200
128	128	24
130	130	10
131	131	3
132	132	200000005
133	133	1007
134	134	200110003
135	135	10
136	136	15
137	137	3
140	140	30
141	141	30
142	142	300
143	143	16
150	150	30
160	160	5
161	161	100
170	170	150
171	171	30
172	172	13
173	173	13
174	174	15
175	175	200110002
176	176	1
177	177	0
178	178	10
180	180	60
181	181	30
182	182	30
183	183	30
185	185	100
186	186	9999
187	187	1
190	190	1800
191	191	1200
193	193	500
194	194	25
195	195	300000108
196	196	1
197	197	1
198	198	1
199	199	1
200	200	1500
201	201	1506
205	205	4
206	206	10
207	207	30
208	208	60
209	209	200000006
210	210	3
211	211	30
212	212	1
213	213	7
214	214	25
220	220	80
221	221	100
222	222	30
223	223	3
224	224	10
225	225	80
226	226	360
227	227	3
228	228	3
229	229	60
230	230	5
231	231	2
232	232	600000001
233	233	600000008
234	234	600000002
235	235	230000302
236	236	230000303
240	240	30
250	250	1500
