1	1	3	1	4	2000|3000|4000|5000	10|20|20|10
2	1	3	5	9	2000|3000|4000|5000	10|20|20|10
3	1	3	10	14	3000|4000|5000|6000|7000|8000	10|20|20|10|10|5
4	1	3	15	19	3000|4000|5000|6000|7000|8000	10|20|20|10|10|5
5	1	3	20	24	5000|6000|7000|8000|9000|10000	10|20|20|10|10|5
6	1	3	25	29	5000|6000|7000|8000|9000|10000	10|20|20|10|10|5
7	1	3	30	34	7000|8000|9000|10000|11000|12000|13000	10|10|20|20|10|5|5
8	1	3	35	39	7000|8000|9000|10000|11000|12000|13000	10|10|20|20|10|5|5
9	1	3	40	44	10000|11000|12000|13000|14000|15000|16000	10|10|20|20|10|5|5
10	1	3	45	49	10000|11000|12000|13000|14000|15000|16000	10|10|20|20|10|5|5
11	1	3	50	54	14000|15000|16000|17000|18000|19000|20000	10|10|20|20|10|5|5
12	1	3	55	59	14000|15000|16000|17000|18000|19000|20000	10|10|20|20|10|5|5
13	1	3	60	60	18000|19000|20000|21000|22000|23000|24000	10|10|20|20|10|5|5
14	1	5	1	4	4000|5000|6000|7000	10|20|20|10
15	1	5	5	9	4000|5000|6000|7000	10|20|20|10
16	1	5	10	14	5000|6000|7000|8000|9000|10000	10|20|20|10|10|5
17	1	5	15	19	5000|6000|7000|8000|9000|10000	10|20|20|10|10|5
18	1	5	20	24	7000|8000|9000|10000|11000|12000	10|20|20|10|10|5
19	1	5	25	29	7000|8000|9000|10000|11000|12000	10|20|20|10|10|5
20	1	5	30	34	9000|10000|11000|12000|13000|14000|15000	10|10|20|20|10|5|5
21	1	5	35	39	9000|10000|11000|12000|13000|14000|15000	10|10|20|20|10|5|5
22	1	5	40	44	12000|13000|14000|15000|16000|17000|18000	10|10|20|20|10|5|5
23	1	5	45	49	12000|13000|14000|15000|16000|17000|18000	10|10|20|20|10|5|5
24	1	5	50	54	16000|17000|18000|19000|20000|21000|22000	10|10|20|20|10|5|5
25	1	5	55	59	16000|17000|18000|19000|20000|21000|22000	10|10|20|20|10|5|5
26	1	5	60	60	20000|21000|22000|23000|24000|25000|26000	10|10|20|20|10|5|5
27	2	3	1	4	2000|3000|4000|5000	10|20|20|10
28	2	3	5	9	2000|3000|4000|5000	10|20|20|10
29	2	3	10	14	3000|4000|5000|6000|7000|8000	10|20|20|10|10|5
30	2	3	15	19	3000|4000|5000|6000|7000|8000	10|20|20|10|10|5
31	2	3	20	24	5000|6000|7000|8000|9000|10000	10|20|20|10|10|5
32	2	3	25	29	5000|6000|7000|8000|9000|10000	10|20|20|10|10|5
33	2	3	30	34	7000|8000|9000|10000|11000|12000|13000	10|10|20|20|10|5|5
34	2	3	35	39	7000|8000|9000|10000|11000|12000|13000	10|10|20|20|10|5|5
35	2	3	40	44	10000|11000|12000|13000|14000|15000|16000	10|10|20|20|10|5|5
36	2	3	45	49	10000|11000|12000|13000|14000|15000|16000	10|10|20|20|10|5|5
