1	1	1340
1	2	2150
1	3	3440
1	4	5170
1	5	7250
1	6	9790
1	7	12730
1	8	16300
1	9	20220
1	10	24270
2	1	134
2	2	215
2	3	344
2	4	517
2	5	725
2	6	979
2	7	1273
2	8	1630
2	9	2022
2	10	2427
3	1	214
3	2	344
3	3	550
3	4	827
3	5	1160
3	6	1566
3	7	2037
3	8	2608
3	9	3235
3	10	3883
4	1	103
4	2	207
4	3	311
4	4	415
4	5	519
4	6	622
4	7	726
4	8	830
4	9	934
4	10	1038
5	1	103
5	2	207
5	3	311
5	4	415
5	5	519
5	6	622
5	7	726
5	8	830
5	9	934
5	10	1038
6	1	100
6	2	200
6	3	300
6	4	400
6	5	600
6	6	800
6	7	1000
6	8	1300
6	9	1600
6	10	1900
7	1	100
7	2	200
7	3	300
7	4	400
7	5	600
7	6	800
7	7	1000
7	8	1300
7	9	1600
7	10	1900
8	1	100
8	2	200
8	3	300
8	4	400
8	5	600
8	6	800
8	7	1000
8	8	1300
8	9	1600
8	10	1900
9	1	100
9	2	200
9	3	300
9	4	400
9	5	600
9	6	800
9	7	1000
9	8	1300
9	9	1600
9	10	1900
10	1	100
10	2	200
10	3	300
10	4	400
10	5	600
10	6	800
10	7	1000
10	8	1300
10	9	1600
10	10	1900
