10	1	1500|1501|1502|9990|9991|1504|1503|1509|1512	-	-	11|12|13|14	1	0
11	0	-	-	-	-	-	0
12	1	1500|1501|1502|9990|9991|1504|1503|1509|1512|9950|1609	-	1604	-	-	0
13	0	-	-	-	-	-	0
14	0	1500|1501|1502|9990|9991|1504|1503|1509|1512|9951|1700	-	-	-	-	0
20	1	1000|1001|1002|1003|9990|9991|1012|1008|1204|1007	-	-	21|22|23|24	1	0
21	1	1000|1001|1002|1003|9990|9991|1012|1008|1204|1007|9955|1015	1103	1102	-	-	0
22	1	1000|1001|1002|1003|9990|9991|1012|1008|1204|1007|9956|1015	1205	1200	-	-	0
23	0	-	-	-	-	-	0
24	0	-	-	-	-	-	0
30	1	2000|2001|2002|2013|2119|9990|9991|2011|2111|2010	-	-	31|32|33	1	0
31	0	-	-	-	-	-	0
32	0	-	-	-	-	-	0
33	1	2000|2001|2002|2013|2119|9990|9991|2011|2111|2010|9965|2113	2115	2103	-	-	0
34	0	-	-	-	-	-	0
40	0	-	-	-	41|42|43|44	-	0
41	0	-	-	-	-	-	0
42	0	-	-	-	-	-	0
43	0	-	-	-	-	-	0
44	0	-	-	-	-	-	0
50	1	2500|2501|2502|2503|9990|9991|2505|2510|2513|2508	-	-	51|52|53|54	1	0
51	1	2500|2501|2502|2503|9990|9991|2505|2510|2513|2508|9960|2524	1103	2522	-	-	0
52	0	-	-	-	-	-	0
53	0	-	-	-	-	-	0
54	0	-	-	-	-	-	0
