1	1	1	0|1|2|3|4|5	700|100|100|50|30|20
5	1	0	0|1|2|3|4|5	700|100|100|50|30|20
10	1	0	0|1|2|3|4|5	700|100|100|50|30|20
15	1	0	0|1|2|3|4|5	700|100|100|50|30|20
20	1	0	0|1|2|3|4|5	700|100|100|50|30|20
25	1	0	0|1|2|3|4|5	700|100|100|50|30|20
30	1	0	0|1|2|3|4|5	700|100|100|50|30|20
35	1	0	0|1|2|3|4|5	700|100|100|50|30|20
40	1	0	0|1|2|3|4|5	700|100|100|50|30|20
45	1	0	0|1|2|3|4|5	700|100|100|50|30|20
50	1	0	0|1|2|3|4|5	700|100|100|50|30|20
55	1	0	0|1|2|3|4|5	700|100|100|50|30|20
1	2	0	0|1|2|3|4|5	700|100|100|50|30|20
5	2	0	0|1|2|3|4|5	700|100|100|50|30|20
10	2	0	0|1|2|3|4|5	700|100|100|50|30|20
15	2	0	0|1|2|3|4|5	700|100|100|50|30|20
20	2	0	0|1|2|3|4|5	700|100|100|50|30|20
25	2	0	0|1|2|3|4|5	700|100|100|50|30|20
30	2	0	0|1|2|3|4|5	700|100|100|50|30|20
35	2	0	0|1|2|3|4|5	700|100|100|50|30|20
40	2	0	0|1|2|3|4|5	700|100|100|50|30|20
45	2	0	0|1|2|3|4|5	700|100|100|50|30|20
50	2	0	0|1|2|3|4|5	700|100|100|50|30|20
55	2	0	0|1|2|3|4|5	700|100|100|50|30|20
1	3	0	0|1|2|3|4|5	700|100|100|50|30|20
5	3	0	0|1|2|3|4|5	700|100|100|50|30|20
10	3	0	0|1|2|3|4|5	700|100|100|50|30|20
15	3	0	0|1|2|3|4|5	700|100|100|50|30|20
20	3	0	0|1|2|3|4|5	700|100|100|50|30|20
25	3	0	0|1|2|3|4|5	700|100|100|50|30|20
30	3	0	0|1|2|3|4|5	700|100|100|50|30|20
35	3	0	0|1|2|3|4|5	700|100|100|50|30|20
40	3	0	0|1|2|3|4|5	700|100|100|50|30|20
45	3	0	0|1|2|3|4|5	700|100|100|50|30|20
50	3	0	0|1|2|3|4|5	700|100|100|50|30|20
55	3	0	0|1|2|3|4|5	700|100|100|50|30|20
