0	1000	0	0	0	0	0	0|0|0|0|0|0	0	1
1	1000	0	0	0	0	0	0|0|0|0|0|0	0	1
2	1000	0	0	0	0	0	0|0|0|0|0|0	0	1
3	1000	0	0	0	0	0	0|0|0|0|0|0	0	1
4	997	1	3	3	1	3	0|0|0|0|0|0	0	1
5	850	1	50	150	50	100	0|0|0|0|0|0	0	2
6	750	1	100	200	100	200	0|0|0|0|0|0	0	3
7	650	1	150	150	100	200	0|0|0|0|0|0	0	6
8	420	4	0	0	100	300	0|0|0|0|0|0	0	10
9	210	4	0	0	120	600	25|25|25|25|25|25	150	20
10	190	3	0	0	40	240	40|40|40|40|40|40	150	80
11	170	3	0	0	40	200	80|80|80|80|80|80	150	200
12	150	3	0	0	30	150	200|200|200|200|200|200	150	500
13	130	3	0	0	20	120	1000|1000|1000|1000|1000|1000	150	1000
14	120	3	0	0	10	80	5400|5400|5400|5400|5400|5400	150	2000
15	100	3	0	0	10	100	36000|36000|36000|36000|36000|36000	150	5000
16	92	3	0	0	10	100	240000|240000|240000|240000|240000|240000	150	10000
17	81	3	0	0	5	50	2100000|2100000|2100000|2100000|2100000|2100000	150	20000
18	72	3	0	0	5	50	20000000|20000000|20000000|20000000|20000000|20000000	150	50000
19	63	3	0	0	5	50	200000000|200000000|200000000|200000000|200000000|200000000	150	100000
