1000	5	1700_1|1701_1|2004_15|2007_35	5003|5007|5009|5010	9990|9991|9992|9993
1001	15	1700_1|1701_1|2004_15|2007_35	5003|5007|5009|5010	9990|9991|9992|9993
1002	30	1700_1|1701_1|2004_15|2007_35	5003|5007|5009|5010	9990|9991|9992|9993
1003	45	1700_1|1701_1|2004_15|2007_35	5003|5007|5009|5010	9990|9991|9992|9993
1004	5	1700_1|1701_1|2004_15|2007_35	5003|5007|5009|5010	9990|9991|9992|9993
1005	15	1700_1|1701_1|2004_15|2007_35	5003|5007|5009|5010	9990|9991|9992|9993
1006	30	1700_1|1701_1|2004_15|2007_35	5003|5007|5009|5010	9990|9991|9992|9993
1007	45	1700_1|1701_1|2004_15|2007_35	5003|5007|5009|5010	9990|9991|9992|9993
1008	5	1700_1|1701_1|2004_15|2007_35	5003|5007|5009|5010	9990|9991|9992|9993
1009	15	1700_1|1701_1|2004_15|2007_35	5003|5007|5009|5010	9990|9991|9992|9993
1010	30	1700_1|1701_1|2004_15|2007_35	5003|5007|5009|5010	9990|9991|9992|9993
1011	45	1700_1|1701_1|2004_15|2007_35	5003|5007|5009|5010	9990|9991|9992|9993
