1	32	1	10	10	3	0
4	31	1	10	10	3	0
173	41	1	2	2	3	0
174	43	1	50	50	3	0
178	59	1	10	10	3	0
7	22	1	10	10	3	0
8	5	1	10	10	3	0
9	6	1	98	98	3	0
10	7	1	950	950	3	0
11	31814	1	10	10	3	0
12	36042	1	5	5	3	0
14	36001	1	10	10	3	0
15	36002	1	50	50	3	0
204	36040	1	10	10	3	0
24	34001	1	50	50	3	3
25	34002	1	50	50	3	3
26	34003	1	50	50	3	3
27	34004	1	50	50	3	3
28	34005	1	50	50	3	3
29	34006	1	50	50	3	3
30	34007	1	50	50	3	3
31	34008	1	50	50	3	3
32	43201	1	10	10	3	0
33	43202	1	50	50	3	0
34	43203	1	100	100	3	0
35	43204	1	5	5	3	0
36	43206	1	5	5	3	0
37	43120	1	25	25	3	0
38	43207	1	10	10	3	0
39	43124	1	50	50	3	0
40	43209	1	5	5	3	0
41	43210	1	10	10	3	0
42	43211	1	30	30	3	0
43	43212	1	50	50	3	0
44	43213	1	28	28	3	0
45	43214	1	10	10	3	0
46	43216	1	2888	2888	3	0
47	43219	1	2888	2888	3	0
255	32091	1	500	350	3	0
48	21005	1	2888	2888	3	0
176	137	1	10	10	3	0
49	35001	1	10	10	3	0
51	35003	1	248	248	3	0
52	35011	1	8	8	3	0
54	35013	1	200	200	3	0
55	402	1	138	138	3	0
56	403	1	448	448	3	0
57	404	1	1808	1808	3	0
61	42524	1	15	10	3	0
175	136	1	10	10	3	0
60	42525	1	10	10	3	0
59	135	1	10	10	3	0
62	1107	1	10	10	3	0
58	35	1	10	10	3	0
187	1116	1	10	10	3	0
64	10	1	15	10	3	0
166	1108	1	15	12	3	0
177	58	1	12	12	3	0
168	37801	1	50	50	3	0
63	9	1	15	10	3	0
65	31815	1	5	5	3	0
66	401	1	20	20	3	0
67	37812	1	288	288	3	0
68	37811	1	50	50	3	0
69	42007	1	10	10	3	0
188	45	1	1999	1199	3	0
189	71	1	1999	1999	3	0
202	47	1	200	200	3	0
216	425	1	15	15	3	0
217	426	1	165	138	3	0
218	427	1	1665	999	3	0
219	435	1	188	188	3	0
221	433	1	50	50	3	0
222	440	1	20	20	3	0
261	42018	1	20	10	3	0
262	42014	1	200	99	3	0
263	42015	1	200	99	3	0
264	42016	1	1040	520	3	0
265	42017	1	1040	520	3	0
224	656	1	88	88	3	0
242	32080	1	20	10	3	0
243	32082	1	160	80	3	0
70	44038	1	2888	2888	3	0
71	44101	1	5	5	3	0
72	44103	1	45	45	3	0
73	44105	1	400	400	3	0
74	44302	1	10	10	3	0
75	44303	1	30	30	3	0
76	44304	1	90	90	3	0
208	31824	1	10	10	3	0
210	31825	1	20	20	3	0
212	31826	1	50	50	3	0
214	31827	1	100	100	3	0
77	32	1	20	20	6	0
182	59	1	10	10	6	0
82	12	1	10	10	6	0
83	13	1	98	98	6	0
84	14	1	950	950	6	0
85	31814	1	10	10	6	0
86	36042	1	8	8	6	0
88	36001	1	15	15	6	0
205	36040	1	10	10	6	0
98	43201	1	12	12	6	0
99	43202	1	60	60	6	0
100	43203	1	120	120	6	0
101	43204	1	6	6	6	0
102	43206	1	6	6	6	0
103	43120	1	30	30	6	0
104	43207	1	12	12	6	0
105	43124	1	60	60	6	0
106	43209	1	6	6	6	0
107	43210	1	12	12	6	0
108	43211	1	35	35	6	0
109	43212	1	60	60	6	0
110	43213	1	35	35	6	0
111	43214	1	25	25	6	0
112	43216	1	2888	2888	6	0
113	43219	1	2888	2888	6	0
180	137	1	10	10	6	0
114	35001	1	10	10	6	0
116	35003	1	248	248	6	0
117	35011	1	8	8	6	0
119	35013	1	200	200	6	0
123	42524	1	18	15	6	0
179	136	1	10	10	6	0
122	42525	1	20	15	6	0
124	1107	1	12	12	6	0
120	35	1	12	12	6	0
126	10	1	15	10	6	0
167	1108	1	15	12	6	0
169	37801	1	50	50	6	0
127	31815	1	5	5	6	0
128	401	1	20	20	6	0
129	37812	1	288	288	6	0
130	42007	1	10	10	6	0
203	47	1	200	200	6	0
220	435	1	188	188	6	0
131	44038	1	2888	2888	6	0
132	44101	1	12	12	6	0
133	44103	1	55	55	6	0
134	44105	1	478	478	6	0
135	44302	1	12	12	6	0
136	44303	1	36	36	6	0
137	44304	1	108	108	6	0
209	31824	1	10	10	6	0
211	31825	1	20	20	6	0
213	31826	1	50	50	6	0
215	31827	1	100	100	6	0
138	40120	1	600	600	5	4
139	40131	1	8000	4500	5	5
148	40140	1	600	600	5	4
149	40151	1	8000	4500	5	5
256	32103	1	5000	3000	5	2
241	178	1	1000	500	5	0
239	21	1	200	200	5	0
240	30	1	200	200	5	0
165	405	1	450	450	5	0
201	36049	1	250	80	5	0
158	30001	1	6	6	5	0
159	30002	1	12	12	5	0
160	30003	1	25	25	5	0
161	30011	1	6	6	5	0
162	30012	1	12	12	5	0
163	30013	1	25	25	5	0
235	40229	1	150	150	5	0
236	40230	1	2400	2400	5	0
237	40232	1	150	150	5	0
238	40233	1	2400	2400	5	0
190	3	10	10	10	7	0
192	3	100	100	100	7	0
194	3	1000	1000	1000	7	0
195	3	10000	10000	10000	7	0
199	42526	1	5	5	3	0
200	42526	1	5	5	6	0
1001	513	1	5	5	7	0
1003	515	1	20	20	7	0
225	160	1	10	10	7	0
226	161	1	20	20	7	0
227	162	1	30	30	7	0
228	163	1	40	40	7	0
229	164	1	50	50	7	0
230	165	1	60	60	7	0
231	166	1	70	70	7	0
232	167	1	80	80	7	0
233	168	1	90	90	7	0
234	169	1	100	100	7	0
260	170	1	10	10	7	0
