1	1	4	5	0	0	0
4	1	5	6	0	0	0
11	1	6	7	0	0	0
32	1	7	8	0	0	0
6	1	8	8	0	0	0
37	1	8	8	0	0	0
34	1	8	8	0	0	0
3	1	8	9	0	0	0
7	1	10	10	0	0	0
31	1	10	10	0	0	0
8	1	99	99	0	0	0_300001001_20
9	1	99	99	0	0	0_300001101_50
21	1	99	99	0	0	0_300001101_100
10	1	12	13	0	0	0
30	1	13	15	0	0	0
53	1	15	15	0	0	0
14	1	15	16	0	0	0
18	1	10	10	0	0	0
36	1	16	17	0	0	0_330000001_1
15	1	17	18	0	0	0
5	1	18	18	0	0	0
19	1	99	99	0	0	0_200050021_1|0_600000007_100
20	1	99	99	0	0	0
38	1	99	99	0	0	0
17	1	21	21	0	0	0_210000901_2
16	1	21	22	0	0	0
22	1	22	25	0	0	0
23	1	25	30	0	0	0
24	1	35	40	0	0	0
26	2	1	1	0	0	0
27	2	1	1	0	0	0
28	2	1	1	0	0	0
29	2	1	1	0	0	0
39	1	8	8	0	0	0
40	1	9	9	0	0	0
41	1	21	21	0	0	0
42	1	16	16	0	0	0
43	1	21	21	0	0	0
44	1	9	9	0	0	0
45	1	99	99	0	0	0
46	1	10	10	0	0	0
47	1	21	21	0	0	0
48	1	13	13	0	0	0
49	1	1	1	0	0	0
50	1	99	99	0	0	0
51	1	16	16	0	0	0
52	1	99	99	0	0	0
54	1	8	8	0	0	0
55	1	8	8	0	0	0
56	1	12	12	0	0	0
57	1	8	8	0	0	0
58	1	8	8	0	0	0
59	1	24	25	0	0	0
60	1	39	40	0	0	0
61	1	6	6	0	0	0
