10001	0	0.0	0	0.0	0	0.0	100	100
10002	0	0.0	0	0.0	0	0.0	200	200
10003	31002	1:2000,2:500	0	0.0	0	0.0	300	300
10004	31004	1:2000,2:500	0	0.0	0	0.0	400	400
10005	31006	1:2000,2:500	0	0.0	0	0.0	500	500
10006	31008	1:2000,2:500	0	0.0	0	0.0	600	600
10007	31010	1:2000,2:500	0	0.0	0	0.0	700	700
10008	31012	1:2000,2:500	0	0.0	0	0.0	800	800
10009	31014	1:2000,2:500	0	0.0	0	0.0	900	900
10101	0	0.0	0	0.0	0	0.0	100	100
10102	0	0.0	0	0.0	0	0.0	200	200
10103	31002	1:2000,2:500	0	0.0	0	0.0	300	300
10104	31004	1:2000,2:500	0	0.0	0	0.0	400	400
10105	31006	1:2000,2:500	0	0.0	0	0.0	500	500
10106	31008	1:2000,2:500	0	0.0	0	0.0	600	600
10107	31010	1:2000,2:500	0	0.0	0	0.0	700	700
10108	31012	1:2000,2:500	0	0.0	0	0.0	800	800
10109	31014	1:2000,2:500	0	0.0	0	0.0	900	900
10201	0	0.0	0	0.0	0	0.0	100	100
10202	0	0.0	0	0.0	0	0.0	200	200
10203	31002	1:2000,2:500	0	0.0	0	0.0	300	300
10204	31004	1:2000,2:500	0	0.0	0	0.0	400	400
10205	31006	1:2000,2:500	0	0.0	0	0.0	500	500
10206	31008	1:2000,2:500	0	0.0	0	0.0	600	600
10207	31010	1:2000,2:500	0	0.0	0	0.0	700	700
10208	31012	1:2000,2:500	0	0.0	0	0.0	800	800
10209	31014	1:2000,2:500	0	0.0	0	0.0	900	900
11001	0	0.0	0	0.0	0	0.0	100	100
11002	0	0.0	0	0.0	0	0.0	200	200
11003	31001	1:2000,2:499	0	0.0	0	0.0	300	300
11004	31003	1:2000,2:500	0	0.0	0	0.0	400	400
11005	31005	1:2000,2:500	0	0.0	0	0.0	500	500
11006	31007	1:2000,2:500	0	0.0	0	0.0	600	600
11007	31009	1:2000,2:500	0	0.0	0	0.0	700	700
11008	31011	1:2000,2:500	0	0.0	0	0.0	800	800
11009	31013	1:2000,2:500	0	0.0	0	0.0	900	900
