1	0	0	0	0	0	0	0	6	800000052
2	300000	45000	0	0	0	90000	45000	6	800000053
3	1000000	200000	0	0	0	350000	200000	6	800000054
4	2800000	840000	0	0	0	1120000	840000	6	800000055
5	6600000	2310000	0	0	0	2970000	2310000	6	800000056
6	14000000	5600000	0	0	0	7000000	5600000	6	800000057
7	30000000	13500000	0	0	0	16500000	13500000	6	800000058
8	48000000	24000000	0	0	0	28800000	24000000	6	800000059
9	67200000	36960000	0	0	0	43680000	36960000	6	800000060
10	108000000	64800000	0	0	0	75600000	64800000	6	800000061
