1	901	152492001	1
2	901	152492002	1
3	901	600000159	1
4	901	600000066	1
5	901	600000067	1
6	901	600000068	1
7	901	600000069	1
8	902	152490001	1
9	902	152490002	1
10	902	600000159	1
11	902	600000070	1
12	902	600000071	1
13	902	600000072	1
14	903	154492002	1
15	903	154492003	1
16	903	600000159	1
17	903	600000073	1
18	903	600000074	1
19	903	600000075	1
20	904	154490002	1
21	904	154490003	1
22	904	600000159	1
23	904	600000076	1
24	904	600000077	1
25	904	600000078	1
26	905	152492001	1
27	905	152492002	1
28	905	600000159	1
29	905	600000079	1
30	905	600000080	1
31	905	600000081	1
32	906	152490001	1
33	906	152490002	1
34	906	600000159	1
35	906	600000082	1
36	906	600000083	1
37	906	600000084	1
38	907	154492002	1
39	907	154492003	1
40	907	600000159	1
41	907	600000085	1
42	907	600000086	1
43	907	600000087	1
44	908	154490002	1
45	908	154490003	1
46	908	600000159	1
47	908	600000088	1
48	908	600000089	1
49	908	600000090	1
50	909	152492001	1
51	909	152492002	1
52	909	600000159	1
53	909	600000091	1
54	909	600000092	1
55	909	600000093	1
56	910	152490001	1
57	910	152490002	1
58	910	600000159	1
59	910	600000094	1
60	910	600000095	1
61	910	600000096	1
62	911	154492002	1
63	911	154492003	1
64	911	600000159	1
65	911	600000097	1
66	911	600000098	1
67	911	600000099	1
68	912	154490002	1
69	912	154490003	1
70	912	600000159	1
71	912	600000100	1
72	912	600000101	1
73	912	600000102	1
74	801	600000104	1
75	801	600000105	1
76	801	600000103	1
77	801	600000157	1
78	801	600000158	1
79	801	130193053	1
80	801	600000107	1
81	801	600000108	1
82	801	600000106	1
83	801	600000144	1
84	501	600000109	1
85	501	600000111	1
86	501	600000112	1
87	501	600000113	1
88	501	600000110	1
89	501	600000114	1
90	501	600000152	1
91	501	600000153	1
92	501	600000115	1
93	501	600000116	1
94	601	151440001	1
95	601	600000121	1
96	601	600000117	1
97	601	600000118	1
98	601	600000119	1
99	601	600000120	1
100	601	600000144	1
101	601	600000123	1
102	601	600000124	1
104	602	153492001	1
105	602	600000147	1
106	602	600000125	1
107	602	600000126	1
108	602	600000127	1
109	602	600000128	1
110	602	600000144	1
111	602	600000123	1
112	602	600000124	1
114	603	154492004	1
115	603	600000136	1
116	603	600000131	1
117	603	600000132	1
118	603	600000133	1
119	603	600000134	1
120	603	600000144	1
121	603	600000123	1
122	603	600000145	1
124	604	155411002	1
125	604	600000138	1
126	604	600000141	1
127	604	600000149	1
128	604	600000150	1
129	604	600000144	1
130	604	600000151	1
131	604	600000143	1
133	101	600000008	10
134	101	600000008	20
135	101	600000008	20
136	101	200000001	10
137	101	200000002	10
138	101	600000001	500
139	101	200001001	1
140	102	600000008	20
141	102	600000008	40
142	102	600000008	30
143	102	200000001	15
144	102	200000002	15
145	102	600000001	1000
146	102	200001001	2
147	103	600000008	20
148	103	600000008	50
149	103	600000008	30
150	103	200000001	15
151	103	200000002	15
152	103	600000001	1000
153	103	200001001	2
154	104	600000008	20
155	104	600000008	60
156	104	600000008	30
157	104	200000001	15
158	104	200000002	15
159	104	600000001	1000
160	104	200001001	2
161	105	600000008	30
162	105	600000008	80
163	105	600000008	40
164	105	200000001	20
165	105	200000002	20
166	105	600000001	1500
167	105	600000006	1
168	105	800000124	1
169	106	600000008	30
170	106	600000008	40
171	106	600000008	90
172	106	200000001	20
173	106	200000002	20
174	106	600000001	1500
175	106	600000006	1
176	106	800000124	1
177	107	600000008	30
178	107	600000008	100
179	107	600000008	40
180	107	200000001	20
181	107	200000002	20
182	107	600000001	1500
183	107	600000006	1
184	107	800000124	1
185	108	600000008	40
186	108	600000008	120
187	108	600000008	50
188	108	200000002	25
189	108	200000001	25
190	108	600000001	3000
191	108	600000006	2
192	108	800000124	2
193	108	300000501	1
194	109	600000008	40
195	109	600000008	130
196	109	600000008	50
197	109	200000002	25
198	109	200000001	25
199	109	600000001	3000
200	109	600000006	2
201	109	800000124	2
202	109	300000501	1
203	110	600000008	40
204	110	600000008	140
205	110	600000008	50
206	110	200000002	25
207	110	200000001	25
208	110	600000001	3000
209	110	600000006	2
210	110	800000124	2
211	110	300000501	1
212	111	600000008	50
213	111	600000008	160
214	111	600000008	60
215	111	200000002	30
216	111	200000001	30
217	111	600000001	10000
218	111	600000006	3
219	111	800000124	3
220	111	300000501	2
