531003007	200000001|200000002|200000003|200000004	200000004	1
531003008	200000005|200000006|200000007|200000008	200000007	1
531003009	200000076|200000077|200000078|200000079|200000080	200000078	1
531003010	200000012|200000013|200000014|200000015	200000015	1
531003011	200000016|200000017|200000018|200000011	200000018	1
531002009	200000001|200000002|200000003|200000004	200000004	1
531002010	200000005|200000006|200000007|200000008	200000007	1
531002011	200000076|200000077|200000078|200000079|200000080	200000078	1
531002012	200000012|200000013|200000014|200000015	200000015	1
531002013	200000016|200000017|200000018|200000011	200000018	1
531002014	200000001|200000002|200000003|200000004	200000004	1
531002015	200000005|200000006|200000007|200000008	200000007	1
531002016	200000076|200000077|200000078|200000079|200000080	200000078	1
531002017	200000012|200000013|200000014|200000015	200000015	1
531002018	200000016|200000017|200000018|200000011	200000018	1
532003007	200000001|200000002|200000003|200000004	200000004	1
532003008	200000005|200000006|200000007|200000008	200000007	1
532003009	200000082|200000083|200000084|200000085|200000086	200000083	1
532003010	200000012|200000013|200000014|200000015	200000015	1
532003011	200000016|200000017|200000018|200000011	200000018	1
532002009	200000001|200000002|200000003|200000004	200000004	1
532002010	200000005|200000006|200000007|200000008	200000007	1
532002011	200000082|200000083|200000084|200000085|200000086	200000083	1
532002012	200000012|200000013|200000014|200000015	200000015	1
532002013	200000016|200000017|200000018|200000011	200000018	1
532002014	200000001|200000002|200000003|200000004	200000004	1
532002015	200000005|200000006|200000007|200000008	200000007	1
532002016	200000082|200000083|200000084|200000085|200000086	200000083	1
532002017	200000012|200000013|200000014|200000015	200000015	1
532002018	200000016|200000017|200000018|200000011	200000018	1
533003007	200000001|200000002|200000003|200000004	200000004	1
533003008	200000005|200000006|200000007|200000008	200000008	1
533003009	200000092|200000093|200000094|200000095|200000096	200000096	1
533003010	200000012|200000013|200000014|200000015	200000014	1
533003011	200000016|200000017|200000018|200000011	200000018	1
533002009	200000001|200000002|200000003|200000004	200000004	1
533002010	200000005|200000006|200000007|200000008	200000008	1
533002011	200000092|200000093|200000094|200000095|200000096	200000096	1
533002012	200000012|200000013|200000014|200000015	200000014	1
533002013	200000016|200000017|200000018|200000011	200000018	1
533002014	200000001|200000002|200000003|200000004	200000004	1
533002015	200000005|200000006|200000007|200000008	200000008	1
533002016	200000092|200000093|200000094|200000095|200000096	200000096	1
533002017	200000012|200000013|200000014|200000015	200000014	1
533002018	200000016|200000017|200000018|200000011	200000018	1
535003007	200000001|200000002|200000003|200000004	200000004	1
535003008	200000005|200000006|200000007|200000008	200000007	1
535003009	200000087|200000088|200000089|200000090|200000091	200000091	1
535003010	200000012|200000013|200000014|200000015	200000015	1
535003011	200000016|200000017|200000018|200000011	200000018	1
535002009	200000001|200000002|200000003|200000004	200000004	1
535002010	200000005|200000006|200000007|200000008	200000007	1
535002011	200000087|200000088|200000089|200000090|200000091	200000091	1
535002012	200000012|200000013|200000014|200000015	200000015	1
535002013	200000016|200000017|200000018|200000011	200000018	1
535002014	200000001|200000002|200000003|200000004	200000004	1
535002015	200000005|200000006|200000007|200000008	200000007	1
535002016	200000087|200000088|200000089|200000090|200000091	200000091	1
535002017	200000012|200000013|200000014|200000015	200000015	1
535002018	200000016|200000017|200000018|200000011	200000018	1
531002006	200000001|200000002|200000003|200000004	200000004	1
531002007	200000012|200000013|200000014|200000015	200000015	1
531002008	130000047	130000047	0
532002006	200000001|200000002|200000003|200000004	200000004	1
532002007	200000012|200000013|200000014|200000015	200000015	1
532002008	130000047	130000047	0
533002006	200000001|200000002|200000003|200000004	200000004	1
533002007	200000012|200000013|200000014|200000015	200000014	1
533002008	130000047	130000047	0
535002006	200000001|200000002|200000003|200000004	200000004	1
535002007	200000012|200000013|200000014|200000015	200000015	1
535002008	130000047	130000047	0
531002001	200000019|200000020|200000021|200000022	200000022	1
531002002	200000023|200000024|200000025|200000026	200000025	1
531002003	200000097|200000098|200000099|200000100|200000101	200000097	1
531002004	200000030|200000031|200000032|200000033	200000033	1
531002005	200000034|200000035|200000036|200000029	200000036	1
531003001	200000019|200000020|200000021|200000022	200000022	1
531003002	200000023|200000024|200000025|200000026	200000025	1
531003003	200000097|200000098|200000099|200000100|200000101	200000097	1
531003004	200000030|200000031|200000032|200000033	200000033	1
531003005	200000034|200000035|200000036|200000029	200000036	1
531003012	200000019|200000020|200000021|200000022	200000022	1
531003013	200000023|200000024|200000025|200000026	200000025	1
531003014	200000097|200000098|200000099|200000100|200000101	200000097	1
531003015	200000030|200000031|200000032|200000033	200000033	1
531003016	200000034|200000035|200000036|200000029	200000036	1
531003017	200000019|200000020|200000021|200000022	200000022	1
531003018	200000023|200000024|200000025|200000026	200000025	1
531003019	200000097|200000098|200000099|200000100|200000101	200000097	1
531003020	200000030|200000031|200000032|200000033	200000033	1
531003021	200000034|200000035|200000036|200000029	200000036	1
531003022	200000019|200000020|200000021|200000022	200000022	1
531003023	200000023|200000024|200000025|200000026	200000025	1
531003024	200000097|200000098|200000099|200000100|200000101	200000097	1
531003025	200000030|200000031|200000032|200000033	200000033	1
531003026	200000034|200000035|200000036|200000029	200000036	1
531003027	200000019|200000020|200000021|200000022	200000022	1
531003028	200000023|200000024|200000025|200000026	200000025	1
531003029	200000097|200000098|200000099|200000100|200000101	200000097	1
531003030	200000030|200000031|200000032|200000033	200000033	1
531003031	200000034|200000035|200000036|200000029	200000036	1
531003032	200000019|200000020|200000021|200000022	200000022	1
531003033	200000023|200000024|200000025|200000026	200000025	1
531003034	200000097|200000098|200000099|200000100|200000101	200000097	1
531003035	200000030|200000031|200000032|200000033	200000033	1
531003036	200000034|200000035|200000036|200000029	200000036	1
531003037	200000019|200000020|200000021|200000022	200000022	1
531003038	200000023|200000024|200000025|200000026	200000025	1
531003039	200000097|200000098|200000099|200000100|200000101	200000097	1
531003040	200000030|200000031|200000032|200000033	200000033	1
531003041	200000034|200000035|200000036|200000029	200000036	1
531003042	200000019|200000020|200000021|200000022	200000022	1
531003043	200000023|200000024|200000025|200000026	200000025	1
531003044	200000097|200000098|200000099|200000100|200000101	200000097	1
531003045	200000030|200000031|200000032|200000033	200000033	1
531003046	200000034|200000035|200000036|200000029	200000036	1
531003047	200000019|200000020|200000021|200000022	200000022	1
531003048	200000023|200000024|200000025|200000026	200000025	1
531003049	200000097|200000098|200000099|200000100|200000101	200000097	1
531003050	200000030|200000031|200000032|200000033	200000033	1
531003051	200000034|200000035|200000036|200000029	200000036	1
531003052	200000019|200000020|200000021|200000022	200000022	1
531003053	200000023|200000024|200000025|200000026	200000025	1
531003054	200000097|200000098|200000099|200000100|200000101	200000097	1
531003055	200000030|200000031|200000032|200000033	200000033	1
531003056	200000034|200000035|200000036|200000029	200000036	1
531003057	200000019|200000020|200000021|200000022	200000022	1
531003058	200000023|200000024|200000025|200000026	200000025	1
531003059	200000097|200000098|200000099|200000100|200000101	200000097	1
531003060	200000030|200000031|200000032|200000033	200000033	1
