34001	1	2	0	12	0	0	0	0	0	0	60	300	1500
34001	2	2	0	24	0	0	0	0	0	0	150	750	3750
34001	3	2	0	46	0	0	0	0	0	0	300	1500	7500
34001	4	2	0	83	0	0	0	0	0	0	510	2550	12750
34001	5	2	0	150	0	0	0	0	0	0	780	3900	19500
34001	6	2	0	240	0	0	0	0	0	0	1110	5550	27750
34001	7	2	0	360	0	0	0	0	0	0	1500	7500	37500
34001	8	2	0	505	0	0	0	0	0	0	1950	9750	48750
34002	1	3	0	19	0	0	0	0	0	0	60	300	1500
34002	2	3	0	38	0	0	0	0	0	0	150	750	3750
34002	3	3	0	74	0	0	0	0	0	0	300	1500	7500
34002	4	3	0	133	0	0	0	0	0	0	510	2550	12750
34002	5	3	0	240	0	0	0	0	0	0	780	3900	19500
34002	6	3	0	384	0	0	0	0	0	0	1110	5550	27750
34002	7	3	0	576	0	0	0	0	0	0	1500	7500	37500
34002	8	3	0	808	0	0	0	0	0	0	1950	9750	48750
34003	1	1	0	190	0	0	0	0	0	0	60	300	1500
34003	2	1	0	380	0	0	0	0	0	0	150	750	3750
34003	3	1	0	740	0	0	0	0	0	0	300	1500	7500
34003	4	1	0	1330	0	0	0	0	0	0	510	2550	12750
34003	5	1	0	2400	0	0	0	0	0	0	780	3900	19500
34003	6	1	0	3840	0	0	0	0	0	0	1110	5550	27750
34003	7	1	0	5760	0	0	0	0	0	0	1500	7500	37500
34003	8	1	0	5050	0	0	0	0	0	0	1950	9750	48750
34004	1	7	0	6	0	0	0	0	0	0	60	300	1500
34004	2	7	0	12	0	0	0	0	0	0	150	750	3750
34004	3	7	0	23	0	0	0	0	0	0	300	1500	7500
34004	4	7	0	42	0	0	0	0	0	0	510	2550	12750
34004	5	7	0	77	0	0	0	0	0	0	780	3900	19500
34004	6	7	0	123	0	0	0	0	0	0	1110	5550	27750
34004	7	7	0	185	0	0	0	0	0	0	1500	7500	37500
34004	8	7	0	259	0	0	0	0	0	0	1950	9750	48750
34005	1	6	0	6	0	0	0	0	0	0	60	300	1500
34005	2	6	0	12	0	0	0	0	0	0	150	750	3750
34005	3	6	0	23	0	0	0	0	0	0	300	1500	7500
34005	4	6	0	42	0	0	0	0	0	0	510	2550	12750
34005	5	6	0	77	0	0	0	0	0	0	780	3900	19500
34005	6	6	0	123	0	0	0	0	0	0	1110	5550	27750
34005	7	6	0	185	0	0	0	0	0	0	1500	7500	37500
34005	8	6	0	259	0	0	0	0	0	0	1950	9750	48750
